,price,address,street,agency,irl,image,surface-area,status,number-of-rooms,interior,construction-period,garden-surface-area,plot-size,postcode,date
0,1264,"3572 PK Utrecht (Zeeheldenbuurt, Hengeveldstraat en omgeving)",Apartment Willem Barentszstraat,Simpelsearch,/apartment-for-rent/utrecht/70050cb0/willem-barentszstraat,https://media.pararius.nl/image/PR0001658000/PR0001658580/image/jpeg/400x600/UtrechtWillemBarentszstraat-75bc_1.jpg,42,,2,Furnished,,,,3572PK,2021-11-01
1,1195,3037 TD Rotterdam (Liskwartier),Apartment Willebrordusplein,Perfectrent,/apartment-for-rent/rotterdam/940dddf5/willebrordusplein,https://casco-media-prod.global.ssl.fastly.net/940dddf5-a6c0-5913-ac19-84f59bb22077/c09f75f1807256005e294e604f2e617d.jpg?width=600&auto=webp,53,,2,Upholstered,,,,3037TD,2021-11-01
2,1045,3811 JW Amersfoort (Coninckstraat),Apartment Oliesteeg,HouseHunting Utrecht,/apartment-for-rent/amersfoort/2cbb4088/oliesteeg,https://casco-media-prod.global.ssl.fastly.net/2cbb4088-401a-5ada-9224-e854848bdbda/0385c0f030b700ce157fa484f0575be5.jpg?width=600&auto=webp,49,,2,Upholstered,,,,3811JW,2021-11-01
3,1500,3514 BH Utrecht (Vogelenbuurt),Apartment Gruttersdijk,Spot Makelaardij,/apartment-for-rent/utrecht/0ed3d6e9/gruttersdijk,https://casco-media-prod.global.ssl.fastly.net/0ed3d6e9-134a-5980-b30c-3019cef9c56f/d7cc7c364e7ec6eca8b47326b11a71a0.jpg?width=600&auto=webp,51,,2,,2010,,,3514BH,2021-11-01
4,1285,1971 DM IJmuiden (Lagersbuurt),House Gjertsenstraat,123Wonen Haarlem,/house-for-rent/ijmuiden/25c2dcaa/gjertsenstraat,https://casco-media-prod.global.ssl.fastly.net/25c2dcaa-4e2e-5b96-8c06-c92ad7257bc3/33ff8315bd11c9ad721ee3d3889ecccd.png?width=600&auto=webp,74,,4,Upholstered,,,,1971DM,2021-11-01
5,2750,5629 MP Eindhoven (Blixembosch-Oost),House Shakespearelaan 34,Makelaardij FUZOO,/house-for-rent/eindhoven/ed39ee6c/shakespearelaan,https://media.pararius.nl/image/PR0001659000/PR0001659550/image/jpeg/400x600/EindhovenShakespearelaan-6643_1.jpg,173,,6,Furnished,,,,5629MP,2021-11-01
6,510,2351 AK Leiderdorp (Kerkwijk),Room Hoofdstraat,Stay Vastgoed,/room-for-rent/leiderdorp/a0da3da2/hoofdstraat,https://casco-media-prod.global.ssl.fastly.net/a0da3da2-69e6-5a29-b3d3-a13cbc36f188/e7abd925a0e1b7f80b458d90d784b9c6.jpg?width=600&auto=webp,17,,1,Upholstered,,,,2351AK,2021-11-01
7,2200,1071 GD Amsterdam (Museumkwartier),Apartment Van Eeghenstraat,Dutch Renting,/apartment-for-rent/amsterdam/3b78969a/van-eeghenstraat,https://casco-media-prod.global.ssl.fastly.net/3b78969a-7e4e-5f98-90fb-b9ef24499d7b/0d72e8930c6f0541d1c063fc95b2a69a.jpg?width=600&auto=webp,75,,3,Furnished,,,,1071GD,2021-11-01
8,999,1435 ER Rijsenhout (Rijsenhout Omgeving),Apartment Aalsmeerderweg,M4Makelaar B.V,/apartment-for-rent/rijsenhout/c35a6046/aalsmeerderweg,https://media.pararius.nl/image/PR0001659000/PR0001659549/image/jpeg/400x600/RijsenhoutAalsmeerderweg-43a4_4.jpg,65,,2,Furnished,,,,1435ER,2021-11-01
9,875,2225 EV Katwijk (Midden),Apartment Voorstraat,Neptunus Verhuur Katwijk,/apartment-for-rent/katwijk/c3fade61/voorstraat,https://media.pararius.nl/image/PR0001659000/PR0001659548/image/jpeg/400x600/KatwijkVoorstraat-3547_1.jpg,30,,2,Furnished,,,,2225EV,2021-11-01
10,1800,1013 HC Amsterdam (Haarlemmerbuurt),Apartment Brouwersgracht,City Homes,/apartment-for-rent/amsterdam/d9a8ea16/brouwersgracht,https://casco-media-prod.global.ssl.fastly.net/d9a8ea16-c38c-5dbb-9194-cb41e35b32ab/5bb013e98b2f116e66f59a23abf4127b.jpg?width=600&auto=webp,80,,3,Furnished,,,,1013HC,2021-11-01
11,1450,2312 VT Leiden (Marewijk),Apartment Duizenddraadsteeg,Rent2day Real Estate,/apartment-for-rent/leiden/9b7f1fa9/duizenddraadsteeg,https://casco-media-prod.global.ssl.fastly.net/9b7f1fa9-fa14-560b-bac3-9e6fd3b77b7f/c58f52bb23a1b25be36e26d937a59993.jpg?width=600&auto=webp,60,,3,Upholstered,,,,2312VT,2021-11-01
12,1850,1082 SV Amsterdam (Buitenveldert-West),Apartment Wedderborg 5,Renthouse Vastgoed,/apartment-for-rent/amsterdam/86901636/wedderborg,https://media.pararius.nl/image/PR0001659000/PR0001659547/image/jpeg/400x600/AmsterdamWedderborg-7f84_1.jpg,70,,3,Upholstered or furnished,,,,1082SV,2021-11-01
13,1400,1073 XW Amsterdam (Oude Pijp),Apartment Tweede Jacob van Campenstraat,YP Housing,/apartment-for-rent/amsterdam/c59176ec/tweede-jacob-van-campenstraat,https://media.pararius.nl/image/PR0001659000/PR0001659546/image/jpeg/400x600/AmsterdamTweedeJacobvanCampenstraat-4f36_1.jpg,60,,2,Upholstered,,,,1073XW,2021-11-01
14,1600,9725 LB Groningen (Rivierenbuurt),Apartment Fongersplaats 27,REC Vastgoed,/apartment-for-rent/groningen/0ec56fe8/fongersplaats,https://media.pararius.nl/image/PR0001659000/PR0001659545/image/jpeg/400x600/GroningenFongersplaats-10a8_1.jpg,102,,4,Furnished,,,,9725LB,2021-11-01
15,695,6415 PX Heerlen (Burettestraat en omgeving),Apartment Schandelerboord,123Wonen Limburg,/apartment-for-rent/heerlen/0334a6c3/schandelerboord,https://casco-media-prod.global.ssl.fastly.net/0334a6c3-8334-55ff-93ac-a226ff3a25a0/3c102f254d72cf1224657ae841970a39.jpg?width=600&auto=webp,52,,2,Upholstered,,,,6415PX,2021-11-01
16,1250,3111 AE Schiedam (De Plantage),Apartment Lange Nieuwstraat,Dop & Dop Consultancy,/apartment-for-rent/schiedam/9858f942/lange-nieuwstraat,https://casco-media-prod.global.ssl.fastly.net/9858f942-ce76-5f58-84ca-6974abbde42b/190571833d4450602f8bb60c51f50acb.jpg?width=600&auto=webp,65,,2,Furnished,,,,3111AE,2021-11-01
17,1450,3062 KC Rotterdam (Kralingen Oost),Apartment Polanenstraat,Riva Rentals,/apartment-for-rent/rotterdam/1dec9e8b/polanenstraat,https://casco-media-prod.global.ssl.fastly.net/1dec9e8b-b6fd-51c3-b9ca-b29ff9279480/44f51b3b07a72c0819e7aa8b2d4ef411.jpg?width=600&auto=webp,68,,2,Furnished,,,,3062KC,2021-11-01
18,1450,3015 BC Rotterdam (Oude Westen),Apartment Nieuwe Binnenweg,Riva Rentals,/apartment-for-rent/rotterdam/5be29c36/nieuwe-binnenweg,https://casco-media-prod.global.ssl.fastly.net/5be29c36-6862-5372-8ffc-41fea61baf48/b391c73ae8c7ff987099491b8b015d9c.jpg?width=600&auto=webp,75,,2,Furnished,,,,3015BC,2021-11-01
19,3200,1071 CG Amsterdam (Museumkwartier),Apartment Pieter Cornelisz. Hooftstraat,Huisportaal.nl,/apartment-for-rent/amsterdam/1b825bd5/pieter-cornelisz-hooftstraat,https://casco-media-prod.global.ssl.fastly.net/1b825bd5-eccc-5ace-9081-5cf5fbcf8585/b5fbc5fed74b78937c3f4c5509993e47.jpg?width=600&auto=webp,79,,3,,1906,,,1071CG,2021-11-01
20,850,9711 JB Groningen (Binnenstad-Zuid),Apartment Akerkhof,Ben-s.nl verhuur en beheer,/apartment-for-rent/groningen/5079d09f/akerkhof,https://casco-media-prod.global.ssl.fastly.net/5079d09f-606b-53f2-bcd2-3a5a8f549da9/4c0353d9daa00397d14a76f41d8f9118.jpg?width=600&auto=webp,41,,2,Upholstered or furnished,,,,9711JB,2021-11-01
21,1125,5038 HK Tilburg (Bomenbuurt Oost),Apartment Buxusplaats,Rotsvast Tilburg,/apartment-for-rent/tilburg/3d330346/buxusplaats,https://casco-media-prod.global.ssl.fastly.net/3d330346-e909-555d-830d-43f0164696cd/4b695f00d5491f3b7def633f1b9f73a2.jpg?width=600&auto=webp,61,,2,Upholstered,,,,5038HK,2021-11-01
22,1215,1025 XM Amsterdam (Buikslotermeer),Apartment Termini 83,LIV Residential,/apartment-for-rent/amsterdam/e3ef36b9/termini,https://casco-media-prod.global.ssl.fastly.net/e3ef36b9-6cdb-5942-acd2-d847fb905e50/b8ddc73d8939fdf2e943bc55e3c6b924.jpg?width=600&auto=webp,55,,2,Upholstered,,,,1025XM,2021-11-01
23,1300,1106 KH Amsterdam (Holendrecht/Reigersbos),Apartment Millingenhof,Expats. Amsterdam Rentals,/apartment-for-rent/amsterdam/82ca55a5/millingenhof,https://media.pararius.nl/image/PR0001659000/PR0001659544/image/jpeg/400x600/AmsterdamMillingenhof-29ba_1.jpg,58,,2,Furnished,,,,1106KH,2021-11-01
24,600,2522 EG Den Haag (Laakkwartier-Oost),Apartment Lorentzplein,Immovita,/apartment-for-rent/den-haag/76cb289e/lorentzplein,https://casco-media-prod.global.ssl.fastly.net/76cb289e-d862-5234-b255-42559368306c/5422f79fb007946d65193f9ac522d225.jpg?width=600&auto=webp,65,,2,Upholstered,,,,2522EG,2021-11-01
25,1245,2312 JC Leiden (Pancras-West),Apartment Nieuwe Rijn,JM verhuur,/apartment-for-rent/leiden/a98edcb7/nieuwe-rijn,https://casco-media-prod.global.ssl.fastly.net/a98edcb7-b415-57b0-98bc-dbdce157e165/ae2066a1394b47f4c93ccb76b62f903d.jpg?width=600&auto=webp,50,,2,Furnished,,,,2312JC,2021-11-01
26,1950,1083 DB Amsterdam (Buitenveldert-Oost),Apartment Kanteel 40,Groot Amsterdam Makelaardij BV,/apartment-for-rent/amsterdam/72667c66/kanteel,https://casco-media-prod.global.ssl.fastly.net/72667c66-224b-57a4-a208-b70008a20dfa/f3e30ff512eefded848d0247165d716d.jpg?width=600&auto=webp,100,,3,,1989,,,1083DB,2021-11-01
27,1450,1315 BV Almere (Centrum Almere Stad),Apartment Koperslagerhof 34,Groot Amsterdam Makelaardij BV,/apartment-for-rent/almere/116d3547/koperslagerhof,https://casco-media-prod.global.ssl.fastly.net/116d3547-0ed9-538e-8162-cfdd1d47f5d6/0723d8df742ec8bb4881471238abefef.jpg?width=600&auto=webp,81,,3,,1982,,,1315BV,2021-11-01
28,875,1811 EW Alkmaar (Binnenstad-West),Apartment Het Vijvertje,123Wonen Alkmaar,/apartment-for-rent/alkmaar/5d58a7f0/het-vijvertje,https://casco-media-prod.global.ssl.fastly.net/5d58a7f0-a19f-5280-af95-e61bd4c73044/cab9462c51229af161616b41aeab0d3c.jpg?width=600&auto=webp,45,,2,Upholstered,,,,1811EW,2021-11-01
29,930,5507 MZ Veldhoven (Oerle),Apartment Blauwe Kei,GOETH Vastgoed,/apartment-for-rent/veldhoven/f837ded8/blauwe-kei,https://casco-media-prod.global.ssl.fastly.net/f837ded8-3c43-5949-b3f5-49a03f91cbf5/65abc3248a165496e56f2ab86b251711.png?width=600&auto=webp,58,,3,Upholstered,,,,5507MZ,2021-11-01
30,925,6221 CT Maastricht (Wyck),Apartment Wycker Grachtstraat 15 C,Green Housing,/apartment-for-rent/maastricht/99ca6653/wycker-grachtstraat,https://media.pararius.nl/image/PR0001659000/PR0001659543/image/jpeg/400x600/MaastrichtWyckerGrachtstraat-cbb0_1.jpg,60,,2,Upholstered,,,,6221CT,2021-11-01
31,1065,2512 CB Den Haag (Zuidwal),House Lutherse Burgwal,070Wonen,/house-for-rent/den-haag/a9d5cdc3/lutherse-burgwal,https://casco-media-prod.global.ssl.fastly.net/a9d5cdc3-b3bf-5a98-bdb3-e63b55f8b912/d13d39253a65394cf9a3e7fa0532ec32.jpg?width=600&auto=webp,75,,2,,1700,,,2512CB,2021-11-01
32,1395,3051 GC Rotterdam (Hillegersberg Zuid),Apartment Graaf Adolf van Nassaustraat,Dop & Dop Consultancy,/apartment-for-rent/rotterdam/849c2a3e/graaf-adolf-van-nassaustraat,https://casco-media-prod.global.ssl.fastly.net/849c2a3e-2616-5925-8003-bc3cf07c36bc/a13ab5ed767b248fab868268c11090e0.jpg?width=600&auto=webp,77,,3,Furnished,,,,3051GC,2021-11-01
33,752,7543 CT Enschede (Boswinkel-De Braker),Apartment Frederikastraat,Vlug Wonen,/apartment-for-rent/enschede/80fba0c0/frederikastraat,https://casco-media-prod.global.ssl.fastly.net/80fba0c0-577e-58d3-9456-0e00714a23bf/28da1e5eabb9c70fd87699101266810c.jpg?width=600&auto=webp,65,,2,Upholstered,,,,7543CT,2021-11-01
34,1025,2515 AW Den Haag (Rivierenbuurt-Noord),Apartment Pletterijstraat 81,Vesting Vastgoed,/apartment-for-rent/den-haag/66a6f4cc/pletterijstraat,https://casco-media-prod.global.ssl.fastly.net/66a6f4cc-587e-5871-a151-3d1a5140dad3/fb91cf35ac01e8d2674780372e406869.jpg?width=600&auto=webp,65,,2,Upholstered,,,,2515AW,2021-11-01
35,895,2811 HK Reeuwijk (Platteweg),House Korssendijk,Rotsvast Gouda,/house-for-rent/reeuwijk/d2737dff/korssendijk,https://casco-media-prod.global.ssl.fastly.net/d2737dff-46c3-570c-8f8a-f6298f8a1caa/2d1885d6ba8311497918ef08acbdb3ee.jpg?width=600&auto=webp,50,,4,Furnished,,,,2811HK,2021-11-01
36,1345,2743 CC Waddinxveen (Bomenwijk),Apartment Limaweg,Rotsvast Gouda,/apartment-for-rent/waddinxveen/1bd13f7b/limaweg,https://casco-media-prod.global.ssl.fastly.net/1bd13f7b-c5ae-5355-a354-c0a36c502a10/6f9fc817ec4bed0b8e8bcf2c8a9e6f4b.jpg?width=600&auto=webp,64,,3,Upholstered,,,,2743CC,2021-11-01
37,2100,1083 EE Amsterdam (Buitenveldert-Oost),Apartment Van Nijenrodeweg,First Class Housing,/apartment-for-rent/amsterdam/3d827345/van-nijenrodeweg,https://casco-media-prod.global.ssl.fastly.net/3d827345-e1f5-52ee-a1a5-530f3bb4a0af/9ca644b82c49484367da81cea2e3d44a.jpg?width=600&auto=webp,87,,3,Furnished,,,,1083EE,2021-11-01
38,1523,3571 KE Utrecht (Tuindorp-Oost),Apartment Winklerlaan,NederWoon Verhuurmakelaars Utrecht,/apartment-for-rent/utrecht/982f0d3a/winklerlaan,https://casco-media-prod.global.ssl.fastly.net/982f0d3a-a86d-5941-9e16-2a8a651fc152/28c4f2a473b05f881fac46f1852ea801.jpg?width=600&auto=webp,103,,4,Shell,,,,3571KE,2021-11-01
39,1395,7533 VP Enschede (Velve-Lindenhof),Apartment Oostveenweg,Veldboom Vastgoed Enschede,/apartment-for-rent/enschede/ec0d3987/oostveenweg,https://media.pararius.nl/image/PR0001659000/PR0001659542/image/jpeg/400x600/EnschedeOostveenweg-c26f_1.jpg,75,,3,Upholstered,,,,7533VP,2021-11-01
40,1015,9743 AD Groningen (Friesestraatweg),Apartment Friesestraatweg 205 11,Pandomo Makelaars,/apartment-for-rent/groningen/e5e453f2/friesestraatweg,https://casco-media-prod.global.ssl.fastly.net/e5e453f2-f96a-5cbc-84e8-c34f7e0c91f3/76bb945cf27b8f7a22bf41526fef07fc.jpg?width=600&auto=webp,72,,3,,2020,,,9743AD,2021-11-01
41,2100,1186 XP Amstelveen (Punterbuurt),House Turfschip 138,Amstel Property Agency,/house-for-rent/amstelveen/dbbb364e/turfschip,https://casco-media-prod.global.ssl.fastly.net/dbbb364e-d9fb-5ba4-9813-c6f872f8995a/9585f220789bc76161e62fac92f7aa8d.jpg?width=600&auto=webp,140,,5,Furnished,,,,1186XP,2021-11-01
42,2500,1098 EA Amsterdam (Middenmeer),Apartment Linnaeusparkweg,Relocation-Amsterdam,/apartment-for-rent/amsterdam/65c2e67c/linnaeusparkweg,https://casco-media-prod.global.ssl.fastly.net/65c2e67c-6434-5867-87a1-2ab240f4031a/635078c2c86096b2cbe4e2d9187908c8.jpg?width=600&auto=webp,100,,3,Furnished,,,,1098EA,2021-11-01
43,1300,3051 EV Rotterdam (Hillegersberg Zuid),Apartment Willem de Rijkestraat 43,Stad en Land Makelaars,/apartment-for-rent/rotterdam/f8420bb8/willem-de-rijkestraat,https://casco-media-prod.global.ssl.fastly.net/f8420bb8-8e64-517c-90d2-2e5d19497b46/48b285ae4d0f44dda22af1a94e0f6c0c.jpg?width=600&auto=webp,68,,4,Upholstered,,,,3051EV,2021-11-01
44,975,"7514 BH Enschede (Lasonder, Zeggelt)",Apartment Deurningerstraat,Veldboom Vastgoed Enschede,/apartment-for-rent/enschede/e37b86f3/deurningerstraat,https://media.pararius.nl/image/PR0001659000/PR0001659541/image/jpeg/400x600/EnschedeDeurningerstraat-52bf_1.jpg,50,,2,Upholstered,,,,7514BH,2021-11-01
45,825,7514 DV Enschede (De Laares),Apartment Oldenzaalsestraat,Veldboom Vastgoed Enschede,/apartment-for-rent/enschede/4c2285bd/oldenzaalsestraat,https://media.pararius.nl/image/PR0001659000/PR0001659540/image/jpeg/400x600/EnschedeOldenzaalsestraat-3d78_4.jpg,25,,2,Upholstered,,,,7514DV,2021-11-01
46,1650,3011 PT Rotterdam (Stadsdriehoek),Apartment Hoogstraat,Interhouse verhuurmakelaars Rotterdam,/apartment-for-rent/rotterdam/4d85619d/hoogstraat,https://casco-media-prod.global.ssl.fastly.net/4d85619d-ddea-5136-9977-348e1983ce6d/1f8ac3f23d9a15899a3a045a9ffefb1b.jpg?width=600&auto=webp,82,,3,Upholstered,,,,3011PT,2021-11-01
47,1390,4811 PG Breda (Chassé),Apartment Godevaert Montensstraat,123Wonen Breda,/apartment-for-rent/breda/6d3805fc/godevaert-montensstraat,https://casco-media-prod.global.ssl.fastly.net/6d3805fc-2c89-54df-8748-b08c60a94832/35df109151ea6887a039b5628bebb479.jpg?width=600&auto=webp,70,,3,Furnished,,,,4811PG,2021-11-01
48,1160,5211 XH Den Bosch (Binnenstad-Centrum),Apartment Eerste Straatje van Best,HertogWonen,/apartment-for-rent/den-bosch/40ef16fd/eerste-straatje-van-best,https://media.pararius.nl/image/PR0001659000/PR0001659539/image/jpeg/400x600/DenBoschEersteStraatjevanBest-c637_1.jpg,69,,2,Upholstered,,,,5211XH,2021-11-01
49,1200,7511 JG Enschede (City),Apartment Brammelerstraat,Veldboom Vastgoed Enschede,/apartment-for-rent/enschede/985994d1/brammelerstraat,https://media.pararius.nl/image/PR0001659000/PR0001659538/image/jpeg/400x600/EnschedeBrammelerstraat-557d_7.jpg,70,,2,Upholstered,,,,7511JG,2021-11-01
50,725,2563 AA Den Haag (Sweelinckplein en omgeving),Apartment Laan van Meerdervoort,Immovita,/apartment-for-rent/den-haag/945e38ee/laan-van-meerdervoort,https://casco-media-prod.global.ssl.fastly.net/945e38ee-77c1-545c-9ed3-97d6df9ea60a/60ef6700c5222e59d0a6b11955d440e1.jpg?width=600&auto=webp,40,,1,Upholstered,,,,2563AA,2021-11-01
51,1150,7511 JG Enschede (City),Apartment Brammelerstraat,Veldboom Vastgoed Enschede,/apartment-for-rent/enschede/b90ea604/brammelerstraat,https://media.pararius.nl/image/PR0001659000/PR0001659537/image/jpeg/400x600/EnschedeBrammelerstraat-ac58_4.jpg,65,,2,Upholstered,,,,7511JG,2021-11-01
52,1450,1054 AC Amsterdam (Helmersbuurt),Apartment Nassaukade 372 4A,Amsterdam Housing,/apartment-for-rent/amsterdam/3b72e5f2/nassaukade,https://casco-media-prod.global.ssl.fastly.net/3b72e5f2-7f85-5817-a5b6-bd50a987b951/53e14fb85671176724424f3ff69243cb.jpg?width=600&auto=webp,32,,2,Furnished,,,,1054AC,2021-11-01
