,price,address,street,agency,irl,image,surface-area,status,number-of-rooms,interior,plot-size,construction-period,garden-surface-area,postcode,date
208,1300,3526 WX Utrecht (Transwijk-Zuid),Apartment Europaplein,Domvast,/apartment-for-rent/utrecht/e9a6374e/europaplein,https://casco-media-prod.global.ssl.fastly.net/e9a6374e-9aba-5969-b268-5d6c8b95cc78/268a674148de71a95757c6e3efb7119a.jpg?width=600&auto=webp,50,,2,,,2016,,3526WX,2021-11-02
209,995,4611 LX Bergen op Zoom (Centrum),Apartment Lindebaan,Hopmans Wonen,/apartment-for-rent/bergen-op-zoom/cdc53049/lindebaan,https://casco-media-prod.global.ssl.fastly.net/cdc53049-95d8-5d36-967b-3eb41ff6e523/aa300f1efb80c2b60459c162b2ea4ffa.jpg?width=600&auto=webp,75,,3,Shell,,,,4611LX,2021-11-02
210,975,4611 EB Bergen op Zoom (Vestinggronden-Noord),Apartment Drabbestraat,Hopmans Wonen,/apartment-for-rent/bergen-op-zoom/cf5febb9/drabbestraat,https://casco-media-prod.global.ssl.fastly.net/cf5febb9-ee08-55b1-89bc-095a440e9351/f0f1962e6f8b1876eb5ef5b490575151.jpg?width=600&auto=webp,67,,3,Upholstered,,,,4611EB,2021-11-02
211,1900,1087 CN Amsterdam (IJburg West),Apartment Maria Austriastraat,Von Poll Real Estate - Centrum,/apartment-for-rent/amsterdam/3de0463a/maria-austriastraat,https://casco-media-prod.global.ssl.fastly.net/3de0463a-c0fd-59d1-99d4-c69fbcd104bf/57f7b62ac1bd250c4d0061c71da9b904.jpg?width=600&auto=webp,129,,3,,,2006,,1087CN,2021-11-02
212,1350,1112 WT Diemen (Holland Park),Apartment Bart van der Leckhof 24,Keij & Stefels Makelaars en Taxateurs,/apartment-for-rent/diemen/2f9a1d09/bart-van-der-leckhof,https://casco-media-prod.global.ssl.fastly.net/2f9a1d09-4126-53a9-88f5-2f1948337ce9/f9a562c878a7c2c0c09d9b4af9bbef78.jpg?width=600&auto=webp,62,,3,Upholstered or furnished,,,,1112WT,2021-11-02
213,1400,1015 PV Amsterdam (Jordaan),Apartment Egelantiersstraat 9 C,Keij & Stefels Makelaars en Taxateurs,/apartment-for-rent/amsterdam/342ba89e/egelantiersstraat,https://casco-media-prod.global.ssl.fastly.net/342ba89e-c2e8-5fb0-8056-aefbed0ed7c5/22d12f52fbef49f95a3db9686ea5c8a0.jpg?width=600&auto=webp,60,,1,Upholstered,,,,1015PV,2021-11-02
214,1750,1082 KL Amsterdam (Buitenveldert-West),Apartment Onstein 58,Yourhome Makelaars,/apartment-for-rent/amsterdam/25851998/onstein,https://casco-media-prod.global.ssl.fastly.net/25851998-f53b-5fb9-94e4-279acab41ca0/4bb947763b5d4bea599c72339e22ce5f.jpg?width=600&auto=webp,73,,3,Furnished,,,,1082KL,2021-11-02
215,3000,1055 WE Amsterdam (Landlust),Apartment Jan den Haenstraat 24,Forte Makelaars,/apartment-for-rent/amsterdam/a2288a7f/jan-den-haenstraat,https://casco-media-prod.global.ssl.fastly.net/a2288a7f-39a1-5876-a05e-2d9a712a8b7b/594347584191309a7ab413dced142262.jpg?width=600&auto=webp,130,,4,Furnished,,,,1055WE,2021-11-02
216,2200,1016 ET Amsterdam (Grachtengordel-West),Apartment Huidenstraat 22 B,020-Makelaars,/apartment-for-rent/amsterdam/ceda3497/huidenstraat,https://casco-media-prod.global.ssl.fastly.net/ceda3497-db86-512d-8f01-ab866edce60d/db713e37783c37310131eefe654223a0.jpg?width=600&auto=webp,55,,2,Furnished,,,,1016ET,2021-11-02
217,1195,1811 CT Alkmaar (Binnenstad-West),Apartment Ruitersteeg 33,Regio Holland Amsterdam,/apartment-for-rent/alkmaar/25174fa3/ruitersteeg,https://casco-media-prod.global.ssl.fastly.net/25174fa3-d40c-57d4-8488-8964939f8b1a/2a00811372206ce37d497718eb49a022.jpg?width=600&auto=webp,75,,3,,,,12,1811CT,2021-11-02
218,2150,1074 CD Amsterdam (Oude Pijp),Apartment Govert Flinckstraat 363 III,JLG Real Estate,/apartment-for-rent/amsterdam/eb68604a/govert-flinckstraat,https://casco-media-prod.global.ssl.fastly.net/eb68604a-1e48-5530-a01b-8007219ff4f9/7b3736d3a5cd8c0b3215af026affb687.jpg?width=600&auto=webp,66,,2,Upholstered,,,,1074CD,2021-11-02
219,2150,1054 GP Amsterdam (Vondelbuurt),Apartment Vondelstraat 102 I,JLG Real Estate,/apartment-for-rent/amsterdam/3fa3e2aa/vondelstraat,https://casco-media-prod.global.ssl.fastly.net/3fa3e2aa-9478-5004-adee-7dd09439bcac/7e44ba6e6fb1bfb1d7e8c13456f12490.jpg?width=600&auto=webp,80,,3,Furnished,,,,1054GP,2021-11-02
220,1850,1054 EB Amsterdam (Overtoomse Sluis),Apartment Eerste Helmersstraat 295 III,JLG Real Estate,/apartment-for-rent/amsterdam/192f3f45/eerste-helmersstraat,https://casco-media-prod.global.ssl.fastly.net/192f3f45-3428-59a7-bb9d-bfe28c380a3e/8aa0040070e7237ab193bb2a7085eb3b.jpg?width=600&auto=webp,73,,3,Upholstered,,,,1054EB,2021-11-02
221,1850,1017 TT Amsterdam (De Weteringschans),Apartment Noorderstraat 113,JLG Real Estate,/apartment-for-rent/amsterdam/a8c95de6/noorderstraat,https://casco-media-prod.global.ssl.fastly.net/a8c95de6-ee93-5bc6-ae59-62d8823fb625/d90f0227ec5b2ad39b600cdb7af79562.jpg?width=600&auto=webp,87,,2,Furnished,,,,1017TT,2021-11-02
222,1650,1019 CR Amsterdam (Oostelijk Havengebied),Apartment Dick Greinerstraat 49,JLG Real Estate,/apartment-for-rent/amsterdam/8d97476d/dick-greinerstraat,https://casco-media-prod.global.ssl.fastly.net/8d97476d-1289-5cea-98b0-00bc0a309340/03dfd5e99c48683799aac3d4c8bf0959.jpg?width=600&auto=webp,53,,2,Furnished,,,,1019CR,2021-11-02
223,1325,2201 BG Noordwijk (Beeklaan-kwartier),Apartment Beeklaan 114,Tweelwonen.nl Noordwijk,/apartment-for-rent/noordwijk-zh/d0a7c771/beeklaan,https://casco-media-prod.global.ssl.fastly.net/d0a7c771-5c29-52ec-9b68-57d32aebe3b4/693208865bac5ef3fa87703233dfab8b.jpg?width=600&auto=webp,85,,3,Upholstered,,,,2201BG,2021-11-02
224,1850,2011 PP Haarlem (Binnenstad),Apartment Zoetestraat 25 C,Van Oosterom Makelaar,/apartment-for-rent/haarlem/cb18b88e/zoetestraat,https://casco-media-prod.global.ssl.fastly.net/cb18b88e-79ce-5cd9-94d5-9240ccf9def7/e6bae53cafdf846bc2d211e5b7c708f6.jpg?width=600&auto=webp,90,,3,Upholstered,,,,2011PP,2021-11-02
225,1475,2011 LT Haarlem (Stationsbuurt),Apartment Rozenstraat 75,Van Oosterom Makelaar,/apartment-for-rent/haarlem/f84d9511/rozenstraat,https://casco-media-prod.global.ssl.fastly.net/f84d9511-3bce-5015-8349-9714ea640f6f/cf30837de9ff3c8e464c048a6a64cca6.jpg?width=600&auto=webp,85,,3,Furnished,,,,2011LT,2021-11-02
226,580,6243 NC Geulle (Geulle),Apartment Kerkplein,Kracht Makelaars,/apartment-for-rent/geulle/f19946bf/kerkplein,https://casco-media-prod.global.ssl.fastly.net/f19946bf-57cb-51aa-9e72-abfd7bbe5c9f/0c239a6cd8e269bccdbf5dfc49974074.jpg?width=600&auto=webp,53,,3,Shell,,,,6243NC,2021-11-02
227,1150,2586 TR Den Haag (Scheveningen Badplaats),Studio Dirk Hoogenraadstraat,A&N Vastgoed,/studio-for-rent/den-haag/ea6a1844/dirk-hoogenraadstraat,https://casco-media-prod.global.ssl.fastly.net/ea6a1844-cbd2-50b9-bb7c-b36212feff46/c5755fb09be48ab8fc335247b3578121.jpg?width=600&auto=webp,38,,1,Furnished,,,,2586TR,2021-11-02
228,1295,2584 HG Den Haag (Visserijbuurt),Apartment Badhuisstraat,A&N Vastgoed,/apartment-for-rent/den-haag/91de3c0d/badhuisstraat,https://casco-media-prod.global.ssl.fastly.net/91de3c0d-c446-53da-8071-c1a09da38c0f/3f60b142e2a0fdad97ee4795a3fecd25.jpg?width=600&auto=webp,78,,2,Upholstered,,,,2584HG,2021-11-02
229,1950,1087 DJ Amsterdam (IJburg West),Apartment Daguerrestraat,City Homes,/apartment-for-rent/amsterdam/e4039b73/daguerrestraat,https://casco-media-prod.global.ssl.fastly.net/e4039b73-cd4c-5041-8385-196c040a103a/6963b98fa0fde80ea0882ee2c84a5d69.jpg?width=600&auto=webp,130,,4,Furnished,,,,1087DJ,2021-11-02
230,2000,1112 NL Diemen (Kruidenhof),Apartment Havikskruid 183,Huizenbalie.nl,/apartment-for-rent/diemen/f6519ce7/havikskruid,https://casco-media-prod.global.ssl.fastly.net/f6519ce7-bc68-507a-8e87-2a8fbf2eac6f/cdafb0ebfb58358ba1992249e69a6209.jpg?width=600&auto=webp,66,,3,Upholstered or furnished,,,,1112NL,2021-11-02
231,1795,1074 AJ Amsterdam (Nieuwe Pijp),Apartment Van Woustraat 145 2,Huizenbalie.nl,/apartment-for-rent/amsterdam/bfeddd02/van-woustraat,https://casco-media-prod.global.ssl.fastly.net/bfeddd02-a21f-5c4c-853b-8d62d8d9ce0e/95be01efb1ec25e7e7942695b4227d70.jpg?width=600&auto=webp,65,,3,Furnished,,,,1074AJ,2021-11-02
232,995,8011 MC Zwolle (Binnenstad-Noord),Apartment Melkmarkt,De Woningwinkel B.V.,/apartment-for-rent/zwolle/48361899/melkmarkt,https://casco-media-prod.global.ssl.fastly.net/48361899-bb30-5025-b160-062141a2a265/443832315cb126ce8f39af9fad0965ef.jpg?width=600&auto=webp,85,,3,,,,,8011MC,2021-11-02
233,1700,1076 TN Amsterdam (Stadionbuurt),Apartment Sportstraat 11 I,Dutch Housing Centre BV,/apartment-for-rent/amsterdam/27f20bec/sportstraat,https://casco-media-prod.global.ssl.fastly.net/27f20bec-4b54-5599-86f5-5cd7f7a87653/10a04af6700141d002388af0d502f529.jpg?width=600&auto=webp,43,,2,Furnished,,,,1076TN,2021-11-02
234,2650,1077 LX Amsterdam (Apollobuurt),Apartment Albrecht Dürerstraat 37 I,Dutch Housing Centre BV,/apartment-for-rent/amsterdam/3c470000/albrecht-duererstraat,https://casco-media-prod.global.ssl.fastly.net/3c470000-8645-543a-9099-39f6a7f0dfd9/6deffd482c66e9e4c87be329a2d8ec0b.jpg?width=600&auto=webp,127,,4,Upholstered,,,,1077LX,2021-11-02
235,850,2574 JJ Den Haag (Rustenburg),House Bussumsestraat 221,Rent a Stone,/house-for-rent/den-haag/3ce2c353/bussumsestraat,https://casco-media-prod.global.ssl.fastly.net/3ce2c353-cfa7-5daa-a69a-e98c0e1c490d/c6006eca9cd971564740a07182eec067.jpg?width=600&auto=webp,56,,2,Upholstered,,,,2574JJ,2021-11-02
236,1950,2011 RW Haarlem (Bakenes),Apartment Jansstraat,EHR Haarlem - Leiden,/apartment-for-rent/haarlem/a8704e79/jansstraat,https://media.pararius.nl/image/PR0001659000/PR0001659505/image/jpeg/400x600/HaarlemJansstraat-e073_1.jpg,115,,3,Upholstered,,,,2011RW,2021-11-02
237,841,3079 KA Rotterdam (Groot IJsselmonde),Apartment Brittenoord 7,Nationaal Grondbezit,/apartment-for-rent/rotterdam/b9d5fbf7/brittenoord,https://casco-media-prod.global.ssl.fastly.net/b9d5fbf7-b882-5494-ad4b-2e424ddc8a3b/d77fa3d3974bb1343f72e3a524d9cfde.jpg?width=600&auto=webp,63,,3,Shell,,,,3079KA,2021-11-02
238,1440,3512 HJ Utrecht (Nobelstraat en omgeving),Apartment Kromme Nieuwegracht,Forest Property Management,/apartment-for-rent/utrecht/fa4124bb/kromme-nieuwegracht,https://media.pararius.nl/image/PR0001659000/PR0001659503/image/jpeg/400x600/UtrechtKrommeNieuwegracht-ad64_11.jpg,75,,2,Upholstered,,,,3512HJ,2021-11-02
239,1250,9718 CE Groningen (Binnenstad-West),Apartment Westersingel 47,Gruno Vastgoed B.V.,/apartment-for-rent/groningen/c6f83012/westersingel,https://casco-media-prod.global.ssl.fastly.net/c6f83012-f54a-58b8-a634-da72ad9787db/4ef0f03fc6ed6ec3b48bc4a71fd1ff75.jpg?width=600&auto=webp,55,,3,Furnished,,,,9718CE,2021-11-02
240,1175,8331 KA Steenwijk (Centrum Steenwijk),Apartment Burgemeester Goeman Borgesiusstraat,123Wonen Zwolle,/apartment-for-rent/steenwijk/244839e1/burgemeester-goeman-borgesiusstraat,https://casco-media-prod.global.ssl.fastly.net/244839e1-8262-583b-92fd-17aa50e62cb5/0cfab5e7acdadebbcef7e84912d01c08.jpg?width=600&auto=webp,112,,5,,,,,8331KA,2021-11-02
241,995,8051 LN Hattem (Hogenkamp en omgeving),House Randweg,123Wonen Zwolle,/house-for-rent/hattem/56d8a199/randweg,https://casco-media-prod.global.ssl.fastly.net/56d8a199-ca7f-5ad5-acd8-2f01a13ba062/39413fe4cc2fac713b766f353bed688b.jpg?width=600&auto=webp,143,,6,Furnished,,,,8051LN,2021-11-02
242,2100,1187 WK Amstelveen (Schrijversbuurt),House Herman de Manlaan,First Class Housing,/house-for-rent/amstelveen/84cd5d8c/herman-de-manlaan,https://casco-media-prod.global.ssl.fastly.net/84cd5d8c-f73d-5528-b341-913c21bad719/d787312d726d2a6c34509e5282571835.jpg?width=600&auto=webp,145,,5,Furnished,,,,1187WK,2021-11-02
243,1095,2014 VR Haarlem (Geschiedschrijversbuurt),Apartment Van Oosten de Bruijnstraat 215 A,Nu Woonruimte,/apartment-for-rent/haarlem/49df6371/van-oosten-de-bruijnstraat,https://casco-media-prod.global.ssl.fastly.net/49df6371-2b4e-5b5b-88b1-afed9562fa8c/7d568c7ee25c217b03443482666f63a8.jpg?width=600&auto=webp,56,,2,Furnished,,,,2014VR,2021-11-02
244,1350,1012 SJ Amsterdam (Burgwallen-Nieuwe Zijde),Apartment Nieuwezijds Voorburgwal,City Housing Amsterdam,/apartment-for-rent/amsterdam/246f3994/nieuwezijds-voorburgwal,https://casco-media-prod.global.ssl.fastly.net/246f3994-f65f-5576-9278-cedef06ff7c9/5222ebc0c90540ecb73b1b4e6cbf3e69.jpg?width=600&auto=webp,25,,1,Furnished,,,,1012SJ,2021-11-02
245,1600,3581 KR Utrecht (Buiten Wittevrouwen),Apartment Burgemeester Reigerstraat,Rotsvast Utrecht,/apartment-for-rent/utrecht/76952ee7/burgemeester-reigerstraat,https://casco-media-prod.global.ssl.fastly.net/76952ee7-c9e1-556d-aad4-006010df85a7/ed99d4febe00f35ef3e03092798240f5.jpg?width=600&auto=webp,55,,3,Upholstered,,,,3581KR,2021-11-02
246,1550,3581 KR Utrecht (Buiten Wittevrouwen),Apartment Burgemeester Reigerstraat,Rotsvast Utrecht,/apartment-for-rent/utrecht/acaa73b1/burgemeester-reigerstraat,https://casco-media-prod.global.ssl.fastly.net/acaa73b1-e1ac-571d-bb36-d654f9123df4/dda0f54b97c089f1f1cda96f81ab0c82.jpg?width=600&auto=webp,55,,2,Upholstered,,,,3581KR,2021-11-02
247,950,3816 TD Amersfoort (Verdiweg),Apartment Schuilenburgerplein,SH Consultancy,/apartment-for-rent/amersfoort/4bd1eeac/schuilenburgerplein,https://media.pararius.nl/image/PR0001659000/PR0001659502/image/jpeg/400x600/AmersfoortSchuilenburgerplein-be22_3.jpg,59,,2,Upholstered,,,,3816TD,2021-11-02
248,1495,"3551 TS Utrecht (Egelantierstraat, Mariëndaalstraat e.o.)",House Chrysantstraat 17,StartHousing,/house-for-rent/utrecht/613991aa/chrysantstraat,https://casco-media-prod.global.ssl.fastly.net/613991aa-b432-53bb-b63b-b2e31d5169a6/b73a4cbdb51687bdccf9480f35425a01.jpg?width=600&auto=webp,72,,3,Furnished,,,,3551TS,2021-11-02
249,1600,1112 EM Diemen (Bomenrijk),Apartment Bomenrijk 83,IdealEstate Housing Consultancy,/apartment-for-rent/diemen/f3cbaf08/bomenrijk,https://casco-media-prod.global.ssl.fastly.net/f3cbaf08-e591-5a02-a6d9-2293399962a7/053366de22756471a8545db77e2f6f55.jpg?width=600&auto=webp,100,,4,Upholstered,,,,1112EM,2021-11-02
250,875,2524 AL Den Haag (Laakkwartier-West),House Van Zeggelenlaan,070Wonen,/house-for-rent/den-haag/b1d5026f/van-zeggelenlaan,https://casco-media-prod.global.ssl.fastly.net/b1d5026f-e3ec-56fb-94e5-86733aecf6f0/a694df20cfc856651dfd69837a82b9a5.jpg?width=600&auto=webp,36,,2,,,1933,,2524AL,2021-11-02
251,1200,3601 TB Maarssen (Zeeheldenbuurt),Apartment Piet Heinstraat,Overbruggingsverhuur.nl,/apartment-for-rent/maarssen/02753eb5/piet-heinstraat,https://media.pararius.nl/image/PR0001659000/PR0001659498/image/jpeg/400x600/MaarssenPietHeinstraat-3966_1.jpg,72,,3,Furnished,,,,3601TB,2021-11-02
252,915,8011 MK Zwolle (Binnenstad-Zuid),Apartment Voorstraat,NederWoon Verhuurmakelaars Zwolle,/apartment-for-rent/zwolle/c2354482/voorstraat,https://casco-media-prod.global.ssl.fastly.net/c2354482-8c97-57ac-9480-ff865893ec93/e81be18939a125a616606aff4143b201.jpg?width=600&auto=webp,149,,2,Shell,,,,8011MK,2021-11-02
253,1050,3732 HH De Bilt (De Bilt Oost),Apartment Dorpsstraat vo Steenstraat,B&S Rental Service,/apartment-for-rent/de-bilt/cac7e70d/dorpsstraat-vo-steenstraat,https://casco-media-prod.global.ssl.fastly.net/cac7e70d-c243-5cbf-8a6c-15fa9c18aa30/a6d1de110ed5197151b1786c47d2e58b.jpg?width=600&auto=webp,70,,1,Furnished,,,,3732HH,2021-11-02
254,899,5224 EV Den Bosch (De Kruiskamp),Apartment Admiraliteitslaan,Nu-huren.nl,/apartment-for-rent/den-bosch/4888afbd/admiraliteitslaan,https://casco-media-prod.global.ssl.fastly.net/4888afbd-175d-5fa1-8e4d-f7eea6fad29a/84e77a1e6696ea3e8dc183af61bc51d4.jpg?width=600&auto=webp,45,,2,Upholstered,,,,5224EV,2021-11-02
255,1150,5216 VR Den Bosch (De Gestelse Buurt),Apartment Hildebrandstraat,Nu-huren.nl,/apartment-for-rent/den-bosch/a3b1b58d/hildebrandstraat,https://casco-media-prod.global.ssl.fastly.net/a3b1b58d-4410-5abe-8307-90b1dcd8d5ef/58c1f101c733a974edaa0fca9f77ebb7.jpg?width=600&auto=webp,60,,2,Upholstered,,,,5216VR,2021-11-02
256,2495,3077 MG Rotterdam (Oud IJsselmonde),House Puck van Heelstraat,Riva Rentals,/house-for-rent/rotterdam/e5e92de1/puck-van-heelstraat,https://casco-media-prod.global.ssl.fastly.net/e5e92de1-af7e-5475-b0a7-48dbe48fe99c/daf1f564e54c6648308d9c59ad6c3b4f.jpg?width=600&auto=webp,143,,3,Furnished,,,,3077MG,2021-11-02
257,1295,2584 VS Den Haag (Oud Scheveningen),Apartment Sloepstraat,A&N Vastgoed,/apartment-for-rent/den-haag/35a4fd4a/sloepstraat,https://casco-media-prod.global.ssl.fastly.net/35a4fd4a-edcf-5976-a0e2-747a2406c160/346f9406b2788e5b5a801926ceffd8b4.jpg?width=600&auto=webp,80,,3,Upholstered,,,,2584VS,2021-11-02
258,1025,3077 CC Rotterdam (Oud IJsselmonde),House Benedenrijweg,Max Rental,/house-for-rent/rotterdam/ffbb9820/benedenrijweg,https://casco-media-prod.global.ssl.fastly.net/ffbb9820-eb92-5c75-9955-3a7c3632dacb/c47db353e91b7695318e3138c3ae5b78.jpg?width=600&auto=webp,60,,3,Upholstered,,,,3077CC,2021-11-02
259,2000,2011 BS Haarlem (Burgwal),Apartment Lange Herenvest,Vastgoed & Co.,/apartment-for-rent/haarlem/4381a2c0/lange-herenvest,https://casco-media-prod.global.ssl.fastly.net/4381a2c0-6d3a-5d6d-a505-d10dd94cc2b8/05381482cda2e2274c8629d1f749d9ab.jpg?width=600&auto=webp,85,,4,Upholstered,,,,2011BS,2021-11-02
260,1170,2585 XS Den Haag (Archipelbuurt),Apartment Balistraat,Wobeco Housing Agency,/apartment-for-rent/den-haag/715f7507/balistraat,https://casco-media-prod.global.ssl.fastly.net/715f7507-df35-5213-b151-ca4453d133e6/569905d255406235ce806449e4b04dc4.jpg?width=600&auto=webp,85,,2,Furnished,,,,2585XS,2021-11-02
261,935,2522 HX Den Haag (Laakkwartier-Oost),Apartment Jan ten Brinkstraat,Duinzigt Wonen B.V.,/apartment-for-rent/den-haag/c7a1a2bf/jan-ten-brinkstraat,https://casco-media-prod.global.ssl.fastly.net/c7a1a2bf-4099-55f3-8669-0095bb45950d/fa170308d6fd4333aa6fcd93e1314073.jpg?width=600&auto=webp,67,,4,Upholstered,,,,2522HX,2021-11-02
262,950,2522 WL Den Haag (Laakkwartier-Oost),House De Bullstraat,Duinzigt Wonen B.V.,/house-for-rent/den-haag/9426630c/de-bullstraat,https://casco-media-prod.global.ssl.fastly.net/9426630c-a136-5516-854a-dec0af4f7dc3/1ec487d2db56ca3d662dbe526eb2121a.jpg?width=600&auto=webp,60,,4,Upholstered,,,,2522WL,2021-11-02
263,1050,2563 RH Den Haag (Heesterbuurt),House Indigostraat,Duinzigt Wonen B.V.,/house-for-rent/den-haag/5aabdf0b/indigostraat,https://casco-media-prod.global.ssl.fastly.net/5aabdf0b-2327-57f2-acfd-73389f8c56d4/013159b2c8442c7b10d57d61bf018fdb.jpg?width=600&auto=webp,70,,4,Upholstered,,,,2563RH,2021-11-02
264,895,2522 ND Den Haag (Laakkwartier-Oost),Apartment Lyonnetstraat,Duinzigt Wonen B.V.,/apartment-for-rent/den-haag/4f9c5cc1/lyonnetstraat,https://casco-media-prod.global.ssl.fastly.net/4f9c5cc1-fdb9-553c-af5f-ef3bcfcc4667/5150ae38f67d8d20038d320ba702b636.jpg?width=600&auto=webp,55,,3,Upholstered,,,,2522ND,2021-11-02
265,950,2573 VP Den Haag (Oostbroek-Zuid),Apartment Vierhoutenstraat,Duinzigt Wonen B.V.,/apartment-for-rent/den-haag/009dd053/vierhoutenstraat,https://casco-media-prod.global.ssl.fastly.net/009dd053-24b7-5cc4-ba3e-e15e987939b8/a9eeb28deb8e2a3811942776f940d37a.jpg?width=600&auto=webp,70,,4,Upholstered,,,,2573VP,2021-11-02
266,935,2524 CP Den Haag (Laakkwartier-West),House Ledeganckplein,Duinzigt Wonen B.V.,/house-for-rent/den-haag/920c6316/ledeganckplein,https://casco-media-prod.global.ssl.fastly.net/920c6316-31a7-5a4f-94d8-d5b159df7ed9/1cfd5f98283d5d319f717765f44e6b7d.jpg?width=600&auto=webp,70,,4,Upholstered,,,,2524CP,2021-11-02
267,915,2516 XN Den Haag (Noordpolderbuurt),House Drijfriemstraat,Duinzigt Wonen B.V.,/house-for-rent/den-haag/90a73506/drijfriemstraat,https://casco-media-prod.global.ssl.fastly.net/90a73506-ff80-55c3-a964-09ea10e04a3a/56a5f9093aa11069a24a5ddae19f91a3.jpg?width=600&auto=webp,65,,3,Upholstered,,,,2516XN,2021-11-02
268,1050,7333 CV Apeldoorn (Componistenkwartier),House Schubertlaan,123Wonen Apeldoorn,/house-for-rent/apeldoorn/caf4112d/schubertlaan,https://casco-media-prod.global.ssl.fastly.net/caf4112d-ebd4-5de8-b03d-a12d67d59c4c/803c8ffe630b8d8d3e1d76f015dd1a6f.jpg?width=600&auto=webp,110,,5,Upholstered,,,,7333CV,2021-11-02
269,850,2614 BP Delft (Kuyperwijk-Noord),Apartment Van Adrichemstraat 275,Björnd Makelaardij,/apartment-for-rent/delft/eb84a586/van-adrichemstraat,https://casco-media-prod.global.ssl.fastly.net/eb84a586-33db-52f4-aca8-12dad3a156b4/dd6871c7171222bc6eafb51bab8dca1c.jpg?width=600&auto=webp,28,,1,Upholstered,,,,2614BP,2021-11-02
270,1125,3317 KR Dordrecht (Crabbehof-Zuid),Apartment Henri Polakstraat,123Wonen Dordrecht,/apartment-for-rent/dordrecht/3ac0660a/henri-polakstraat,https://casco-media-prod.global.ssl.fastly.net/3ac0660a-9648-5c49-877e-0b9c27b99f61/d139ae0bda14aff785cded6f76c57e67.jpg?width=600&auto=webp,75,,3,Upholstered,,,,3317KR,2021-11-02
271,1250,9718 JJ Groningen (Schildersbuurt),Apartment Kraneweg,123Wonen Groningen,/apartment-for-rent/groningen/60b3b126/kraneweg,https://casco-media-prod.global.ssl.fastly.net/60b3b126-20e7-56d5-aaed-75da16263af2/fbf67636593619694c3fd957cb69b24f.jpg?width=600&auto=webp,91,,4,Furnished,,,,9718JJ,2021-11-02
272,875,6129 PN Urmond (Urmond ten oosten van Julianakanaal),House Belikstraat,Phidec Vastgoed Beheer B.V.,/house-for-rent/urmond/924e4360/belikstraat,https://casco-media-prod.global.ssl.fastly.net/924e4360-5c85-5408-82e2-3ee4f90a3452/06d4186c3a44bcd87b4e840d1ad230d4.jpg?width=600&auto=webp,142,,6,Shell,,,,6129PN,2021-11-02
273,1050,3112 DJ Schiedam (Natuurkundigenbuurt),Apartment Copernicusplein,Portsville,/apartment-for-rent/schiedam/ae0dad5e/copernicusplein,https://media.pararius.nl/image/PR0001659000/PR0001659495/image/jpeg/400x600/SchiedamCopernicusplein-2fd6_1.jpg,50,,2,Furnished,,,,3112DJ,2021-11-02
274,1075,9715 BR Groningen (Indische buurt),Apartment Tweede Hunzestraat 18,Gruno Vastgoed B.V.,/apartment-for-rent/groningen/edfd332c/tweede-hunzestraat,https://casco-media-prod.global.ssl.fastly.net/edfd332c-0a05-5c6b-87fd-0e06df7e11e6/dc9833902093cf8dc1a80495056ae1fe.jpg?width=600&auto=webp,50,,2,Upholstered,,,,9715BR,2021-11-02
275,1400,1098 TS Amsterdam (Middenmeer),Apartment Max Planckstraat 23 3,Aemestelle Makelaars Amsterdam,/apartment-for-rent/amsterdam/c0a1236a/max-planckstraat,https://casco-media-prod.global.ssl.fastly.net/c0a1236a-321c-5af4-864e-0d06a73690c4/0eed0f4e55b037cbfc477b49039ad602.jpg?width=600&auto=webp,73,,3,,,1957,,1098TS,2021-11-02
276,1250,2565 DM Den Haag (Bomenbuurt),Apartment Segbroeklaan 56,Joost van Vliet Makelaars O.G.,/apartment-for-rent/den-haag/0f117fb3/segbroeklaan,https://casco-media-prod.global.ssl.fastly.net/0f117fb3-8f4e-58f2-8fbd-194e835be4e7/8921219780f10905dd0f3e63da28e722.jpg?width=600&auto=webp,90,,4,Upholstered,,,,2565DM,2021-11-02
277,1250,8043 LT Zwolle (Milligen),Apartment Werkerlaan,123Wonen Zwolle,/apartment-for-rent/zwolle/4922132e/werkerlaan,https://casco-media-prod.global.ssl.fastly.net/4922132e-41be-59a0-9f87-26362b015d81/dd62742355b2d90052e242bee105f887.jpg?width=600&auto=webp,110,,4,Furnished,,,,8043LT,2021-11-02
278,1264,"3572 PK Utrecht (Zeeheldenbuurt, Hengeveldstraat en omgeving)",Apartment Willem Barentszstraat,Simpelsearch,/apartment-for-rent/utrecht/70050cb0/willem-barentszstraat,https://media.pararius.nl/image/PR0001658000/PR0001658580/image/jpeg/400x600/UtrechtWillemBarentszstraat-75bc_1.jpg,42,,2,Furnished,,,,3572PK,2021-11-02
279,1300,1057 GA Amsterdam (Chassébuurt),Apartment Admiralengracht 52 2,Van Huis Uit Makelaars,/apartment-for-rent/amsterdam/6ef84552/admiralengracht,https://casco-media-prod.global.ssl.fastly.net/6ef84552-309f-520d-b78b-e19c9234826b/3eeab0e7b001ec102d489173bfd266f1.jpg?width=600&auto=webp,60,,2,Furnished,,,,1057GA,2021-11-02
280,1280,2312 EZ Leiden (Stationskwartier),Apartment Morssingel 281,ViaDaan,/apartment-for-rent/leiden/beecd98a/morssingel,https://casco-media-prod.global.ssl.fastly.net/beecd98a-6778-5cc5-bd72-92fd85c73728/688ba62f31abeeab6c358281e4c8b3c8.jpg?width=600&auto=webp,75,,3,Upholstered,,,,2312EZ,2021-11-02
