,price,address,street,agency,irl,image,surface-area,status,number-of-rooms,interior,plot-size,construction-period,garden-surface-area,postcode,date
16,1545,1057 RP Amsterdam (Hoofdweg e.o.),Apartment Van Spilbergenstraat,Visch & Van Zeggelaar Amsterdam,/apartment-for-rent/amsterdam/2329ae9d/van-spilbergenstraat,https://casco-media-prod.global.ssl.fastly.net/2329ae9d-ae33-5b70-bd6b-aaeedba4fefc/cd0b6c7decac07ae981b507b8db6acda.jpg?width=600&auto=webp,50,,3,,,1906-1930,,1057RP,2021-11-02
17,1595,1057 RM Amsterdam (Hoofdweg e.o.),Apartment Van Spilbergenstraat,Visch & Van Zeggelaar Amsterdam,/apartment-for-rent/amsterdam/1a39cfb4/van-spilbergenstraat,https://casco-media-prod.global.ssl.fastly.net/1a39cfb4-b0e3-507d-8187-8ea624fc9102/0d4e0db8e297f70d869ed5ad407a096e.jpg?width=600&auto=webp,57,,3,,,Before 1906,,1057RM,2021-11-02
18,1550,2513 RW Den Haag (Zeeheldenkwartier),Apartment Helmersstraat 93,Wolters Housing,/apartment-for-rent/den-haag/5318937e/helmersstraat,https://casco-media-prod.global.ssl.fastly.net/5318937e-b2ee-5946-a01e-eb61fda72e13/d67c07ae4f7b551f79ae56125151def5.jpg?width=600&auto=webp,100,,3,Upholstered,,,,2513RW,2021-11-02
19,995,2574 EK Den Haag (Oostbroek-Zuid),Apartment Soestdijksekade,Hooghlanden makelaars,/apartment-for-rent/den-haag/bc6a3f4b/soestdijksekade,https://casco-media-prod.global.ssl.fastly.net/bc6a3f4b-f977-5c2a-bf23-29fdd5e8a179/23bce7c521632eafc26b91b8de3ef886.jpg?width=600&auto=webp,77,,3,Upholstered,,,,2574EK,2021-11-02
20,1550,1017 TP Amsterdam (De Weteringschans),Apartment Eerste Weteringdwarsstraat,Hausing,/apartment-for-rent/amsterdam/7c0fc19f/eerste-weteringdwarsstraat,https://casco-media-prod.global.ssl.fastly.net/7c0fc19f-8ade-507f-866a-fe4ed72853fa/7e4f025eb148e81468325356f582eb9e.jpg?width=600&auto=webp,45,,2,Upholstered,,,,1017TP,2021-11-02
21,1500,2133 KG Hoofddorp (Hoofddorp Bornholm West),Apartment Stoholm,Koops Makelaardij,/apartment-for-rent/hoofddorp/9182a5dc/stoholm,https://casco-media-prod.global.ssl.fastly.net/9182a5dc-d311-5295-a28e-3e234d6a0390/fc7ebb32615616f9205e8a04e40ee944.jpg?width=600&auto=webp,80,,3,Furnished,,,,2133KG,2021-11-02
22,1350,2011 CG Haarlem (Burgwal),Apartment Spaarne,Koops Makelaardij,/apartment-for-rent/haarlem/d00ea789/spaarne,https://casco-media-prod.global.ssl.fastly.net/d00ea789-a0d0-5251-92cf-6ac5c992e5b6/41340abd0c7fe4fbba67fea6f2ac23dc.jpg?width=600&auto=webp,60,,1,Upholstered,,,,2011CG,2021-11-02
23,2000,2014 CK Haarlem (Zeeheldenbuurt),House Lorentzkade,Koops Makelaardij,/house-for-rent/haarlem/6bbaa490/lorentzkade,https://casco-media-prod.global.ssl.fastly.net/6bbaa490-2584-598e-b9cb-8b304322f260/b9c378c1fbece2c6dcd4c7b6ecc95b19.jpg?width=600&auto=webp,140,,6,Upholstered,,,,2014CK,2021-11-02
24,1250,5612 HD Eindhoven (Limbeek-Noord),Apartment Boschdijk 277,Huizenbalie.nl,/apartment-for-rent/eindhoven/e6718984/boschdijk,https://casco-media-prod.global.ssl.fastly.net/e6718984-4798-5b3c-9cee-1f6fdfc44fd5/42fc5c091402ad77a345b4ef8d2cc818.jpg?width=600&auto=webp,95,,3,Upholstered,,,,5612HD,2021-11-02
25,1295,2282 HS Rijswijk (Rembrandtkwartier),Apartment Jacob van Offwegenlaan 74,Huizenbalie.nl,/apartment-for-rent/rijswijk/ca04211d/jacob-van-offwegenlaan,https://casco-media-prod.global.ssl.fastly.net/ca04211d-4360-557c-9a01-1b172e4a517d/c4bd16dcb3af6414406403e7ddc5350c.jpg?width=600&auto=webp,105,,3,Upholstered or furnished,,,,2282HS,2021-11-02
