,price,address,street,agency,irl,image,Living area,Rooms,Year of construction,interior,status,garden area,plot area,postcode,date
5136,1750,1015 JG Amsterdam (Jordaan),Apartment Willemsstraat 204,Brockhoff Makelaars,/apartment-for-rent/amsterdam/69cf7fcb/willemsstraat,https://casco-media-prod.global.ssl.fastly.net/69cf7fcb-a112-5a5d-80f1-956d6668401c/5630419c930f361e372561e12ac4479a.jpg?width=600&auto=webp,90,3,1931,Upholstered,,,,1015JG,2021-08-30
5137,1750,1015 JG Amsterdam (Jordaan),Apartment Willemsstraat 206,Brockhoff Makelaars,/apartment-for-rent/amsterdam/e58fd1a0/willemsstraat,https://casco-media-prod.global.ssl.fastly.net/e58fd1a0-3290-54e3-a5c1-c47ce61ab86e/5630419c930f361e372561e12ac4479a.jpg?width=600&auto=webp,90,3,1931,,,,,1015JG,2021-08-30
5138,1750,1015 JG Amsterdam (Jordaan),Apartment Willemsstraat 208,Brockhoff Makelaars,/apartment-for-rent/amsterdam/bf87bec2/willemsstraat,https://casco-media-prod.global.ssl.fastly.net/bf87bec2-f7cf-584f-bcb4-e3dd2818a3c6/5630419c930f361e372561e12ac4479a.jpg?width=600&auto=webp,89,3,1931,Upholstered,,,,1015JG,2021-08-30
5139,1495,1095 GZ Amsterdam (Indische Buurt Oost),Apartment Preangerstraat 11 D,Brockhoff Makelaars,/apartment-for-rent/amsterdam/8a656a38/preangerstraat,https://casco-media-prod.global.ssl.fastly.net/8a656a38-d02f-5773-8357-921910df7ecc/87b356a22aa8cdacc3f2c99290ed6112.jpg?width=600&auto=webp,89,3,2009,,,,,1095GZ,2021-08-30
5140,1550,1087 LD Amsterdam (IJburg Zuid),House Marius Meijboomstraat 34,Brockhoff Makelaars,/house-for-rent/amsterdam/585fb180/marius-meijboomstraat,https://casco-media-prod.global.ssl.fastly.net/585fb180-ec94-59a6-8c63-8ecaa7e250ab/19f6c2162599b3a6ae88f72c0f599ba0.jpg?width=600&auto=webp,120,5,2007,,,,,1087LD,2021-08-30
5141,1840,1052 AD Amsterdam (Staatsliedenbuurt),Apartment De Wittenkade 55 C,Brockhoff Makelaars,/apartment-for-rent/amsterdam/18e05be5/de-wittenkade,https://casco-media-prod.global.ssl.fastly.net/18e05be5-76d6-5aef-8d8f-451b2c10f322/eedeaabe71ffa27f1a17d15815d84594.jpg?width=600&auto=webp,90,3,1939,,,,,1052AD,2021-08-30
5142,1570,1092 EL Amsterdam (Oosterparkbuurt),Apartment Derde Oosterparkstraat 248,Brockhoff Makelaars,/apartment-for-rent/amsterdam/24528975/derde-oosterparkstraat,https://casco-media-prod.global.ssl.fastly.net/24528975-ec02-550c-bfb8-ae40fe5422b6/ec205330c358cdbe51ca7956bc4a0cbc.jpg?width=600&auto=webp,57,2,1900,Upholstered,,,,1092EL,2021-08-30
5143,850,"1102 BL Amsterdam (Bijlmer Centrum (D,F,H))",Studio Elizabeth Cady Stantonplein,Change=,/studio-for-rent/amsterdam/d886ac17/elizabeth-cady-stantonplein,https://casco-media-prod.global.ssl.fastly.net/d886ac17-2717-5e9e-9d8c-e5e651d04666/2e29ba009fbd66af5ca73326b8175392.jpg?width=600&auto=webp,28,1,,Upholstered,,,,1102BL,2021-08-30
5144,1450,4201 AL Gorinchem (Bovenstad),Apartment A.B.steeg,Trijs & Partners,/apartment-for-rent/gorinchem/1359ceb5/a-b-steeg,https://casco-media-prod.global.ssl.fastly.net/1359ceb5-9f03-58ef-ac92-b27f177aff57/6171e9c64e6b909bfa3f4d2fb3ea9730.jpg?width=600&auto=webp,90,3,1900,Furnished,,,,4201AL,2021-08-30
5145,1595,2586 TL Den Haag (Scheveningen Badplaats),Apartment Dirk Hoogenraadstraat,Wobeco Housing Agency,/apartment-for-rent/den-haag/b841251b/dirk-hoogenraadstraat,https://casco-media-prod.global.ssl.fastly.net/b841251b-a566-5345-9262-db49edd2d92c/918c58ac66cef3eb510745decf2030f8.jpg?width=600&auto=webp,78,3,1920,Furnished,,,,2586TL,2021-08-30
