,price,address,street,agency,irl,image,surface-area,status,number-of-rooms,interior,construction-period,garden-surface-area,plot-size,postcode,date
1509,685,6826 AW Arnhem (Presikhaaf I),Apartment Vrij Nederlandstraat,NederWoon verhuurmakelaars Arnhem,/apartment-for-rent/arnhem/6e721585/vrij-nederlandstraat,https://casco-media-prod.global.ssl.fastly.net/6e721585-1b5c-530e-a427-11cb717f2b3a/526819a315d57d113f333aa0f29f45fe.jpg?width=600&auto=webp,53,,2,Upholstered,,,,6826AW,2021-10-14
1510,985,9713 BR Groningen (Gorechtbuurt),Apartment Wielewaalplein,Tuitman Vastgoed,/apartment-for-rent/groningen/1c556870/wielewaalplein,https://casco-media-prod.global.ssl.fastly.net/1c556870-467c-50cf-9937-3ac4db06c524/eeaca26f46d701903d65239469f10bb6.jpg?width=600&auto=webp,48,,2,Upholstered,,,,9713BR,2021-10-14
1511,1150,6416 WE Heerlen (Dr. Nolensplein en omgeving),House Vossepark,123Wonen Limburg,/house-for-rent/heerlen/4cbd9264/vossepark,https://casco-media-prod.global.ssl.fastly.net/4cbd9264-1961-528b-9015-4fa5696e7b97/67191a905a3f871d46aee5080046604d.jpg?width=600&auto=webp,140,,5,Upholstered,,,,6416WE,2021-10-14
1512,1250,2513 CX Den Haag (Zeeheldenkwartier),Apartment 2e De Riemerstraat 111 C,The Hague Real Estate Services,/apartment-for-rent/den-haag/5267ffa6/2e-de-riemerstraat,https://casco-media-prod.global.ssl.fastly.net/5267ffa6-3538-50aa-b8ce-d8e2fd20df24/80ce9713f351a0119be38d49bd6f809b.jpg?width=600&auto=webp,55,,3,Furnished,,,,2513CX,2021-10-14
1513,1495,9711 BT Groningen (Binnenstad-Zuid),Apartment Coehoornsingel 42 a,Makelaardij Van Wieren,/apartment-for-rent/groningen/26402293/coehoornsingel,https://media.pararius.nl/image/PR0001658000/PR0001658900/image/jpeg/400x600/GroningenCoehoornsingel-eca9_1.jpg,100,,5,Upholstered,,,,9711BT,2021-10-14
1514,1550,1073 CD Amsterdam (Oude Pijp),Apartment Govert Flinckstraat 230 1,Vastgoed Unie Makelaardij ,/apartment-for-rent/amsterdam/b21d84e8/govert-flinckstraat,https://casco-media-prod.global.ssl.fastly.net/b21d84e8-ca38-58c3-bdb1-e596e451078e/c31080fbef4cb4cf778c19723925ccf2.jpg?width=600&auto=webp,48,,2,Furnished,,,,1073CD,2021-10-14
1515,775,2025 WG Haarlem (Meeuwenbuurt),Apartment Leeuwerikstraat 28,Roomservice,/apartment-for-rent/haarlem/ebb5e6ac/leeuwerikstraat,https://media.pararius.nl/image/PR0001658000/PR0001658899/image/jpeg/400x600/HaarlemLeeuwerikstraat-3ff3_10.jpg,37,,2,Upholstered,,,,2025WG,2021-10-14
1516,1750,1251 LV Laren (Oostereng),Apartment Molenaar,Kappelle Onroerend Goed Laren,/apartment-for-rent/laren-nh/14bae502/molenaar,https://casco-media-prod.global.ssl.fastly.net/14bae502-119f-583e-b3d2-4de1ead03df9/6a3614f6ba7a2ff86343c1226315821d.jpg?width=600&auto=webp,90,,3,,1931-1944,,,1251LV,2021-10-14
1517,2950,1251 HP Laren (Laren-Centrum),Apartment Krommepad,Kappelle Onroerend Goed Laren,/apartment-for-rent/laren-nh/cbb59228/krommepad,https://casco-media-prod.global.ssl.fastly.net/cbb59228-0cf3-526a-a25e-007b34fc1421/1376f9dc5a700838282f1fc0b506a756.jpg?width=600&auto=webp,139,,3,,2001-2010,,,1251HP,2021-10-14
1518,1095,5176 NJ De Moer (De Moer),Apartment Middelstraat,123Wonen Tilburg,/apartment-for-rent/de-moer/53796fdf/middelstraat,https://casco-media-prod.global.ssl.fastly.net/53796fdf-f3c5-5ecd-bb6d-396ca286bd04/91764d6038a9e6e2adc5361572420e7b.jpg?width=600&auto=webp,75,,2,,,,,5176NJ,2021-10-14
