,price,address,street,agency,irl,Living area,Rooms,interior,garden area,postcode,date
0,2500,2514 CJ Den Haag (Voorhout),Apartment Denneweg 60,The Real Estate Company,/apartment-for-rent/den-haag/61c87f15/denneweg,110,3,Upholstered,,2514CJ,2021-08-12
1,1200,2514 LA Den Haag (Willemspark),Apartment Frederikstraat,Hulshof Makelaars,/apartment-for-rent/den-haag/db59f00d/frederikstraat,58,1,,,2514LA,2021-08-12
2,945,2518 LD Den Haag (Rond de Energiecentrale),Apartment Van Boecopkade,Rent an Apartment,/apartment-for-rent/den-haag/bfbea07a/van-boecopkade,50,2,Upholstered,,2518LD,2021-08-12
3,855,2518 LD Den Haag (Rond de Energiecentrale),Apartment Van Boecopkade,Rent an Apartment,/apartment-for-rent/den-haag/d8e2911d/van-boecopkade,38,1,Upholstered,,2518LD,2021-08-12
4,1675,2582 AA Den Haag (Stadhoudersplantsoen),Apartment Cornelis de Wittlaan 23,De Regenbogen Beheer,/apartment-for-rent/den-haag/f3075efd/cornelis-de-wittlaan,75,2,Upholstered,,2582AA,2021-08-12
5,920,2592 JC Den Haag (Burgen en Horsten),Apartment Kornalijnhorst 306,Rent a Stone,/apartment-for-rent/den-haag/bbca0a99/kornalijnhorst,55,2,Upholstered,,2592JC,2021-08-12
6,995,2582 AA Den Haag (Statenkwartier),Apartment Cornelis de Wittlaan 17 B,De Regenbogen Beheer,/apartment-for-rent/den-haag/e0312702/cornelis-de-wittlaan,45,2,Upholstered,,2582AA,2021-08-12
7,785,2515 AW Den Haag (Rivierenbuurt-Noord),House Pletterijstraat,070Wonen,/house-for-rent/den-haag/88edd0a1/pletterijstraat,28,2,Upholstered,,2515AW,2021-08-12
8,980,2517 XN Den Haag (Sweelinckplein en omgeving),Apartment Van Blankenburgstraat 67 E,De Regenbogen Beheer,/apartment-for-rent/den-haag/bc43a969/van-blankenburgstraat,40,2,Upholstered,,2517XN,2021-08-12
9,1095,2517 AV Den Haag (Sweelinckplein en omgeving),Apartment Laan van Meerdervoort 121 E,De Regenbogen Beheer,/apartment-for-rent/den-haag/52bd973f/laan-van-meerdervoort,50,2,Upholstered,,2517AV,2021-08-12
10,895,2512 CR Den Haag (Zuidwal),House Boekhorststraat,070Wonen,/house-for-rent/den-haag/98278f0d/boekhorststraat,18,1,Furnished,,2512CR,2021-08-12
11,1350,2515 AG Den Haag (Rivierenbuurt-Noord),Apartment Maasstraat 230,The Hague Real Estate Services,/apartment-for-rent/den-haag/aa401ee1/maasstraat,76,3,Upholstered,,2515AG,2021-08-12
12,950,2593 BT Den Haag (Bezuidenhout-Oost),Apartment Laan van Nieuw-Oost-Indië 26 A,Wooncompany Den Haag,/apartment-for-rent/den-haag/d7d6d558/laan-van-nieuw-oost-indie,50,2,Upholstered,,2593BT,2021-08-12
13,1125,2552 EP Den Haag (Houtwijk),House Oude Haagweg,070Wonen,/house-for-rent/den-haag/35c73864/oude-haagweg,60,2,,,2552EP,2021-08-12
14,450,2561 AL Den Haag (Valkenboskwartier),Apartment Columbusstraat,Duinzigt Wonen B.V.,/apartment-for-rent/den-haag/48883cef/columbusstraat,24,2,Upholstered,,2561AL,2021-08-12
15,425,2563 XN Den Haag (Valkenboskwartier),Apartment Nicolaas Tulpstraat,Duinzigt Wonen B.V.,/apartment-for-rent/den-haag/62ff4b48/nicolaas-tulpstraat,28,2,Upholstered,,2563XN,2021-08-12
16,2550,2518 DJ Den Haag (Willemspark),Apartment Zeestraat 215,The Hague Real Estate Services,/apartment-for-rent/den-haag/48ad7557/zeestraat,115,3,Upholstered,,2518DJ,2021-08-12
17,1225,2593 RX Den Haag (Bezuidenhout-Oost),Apartment Loudonstraat,Residence Makelaars,/apartment-for-rent/den-haag/b0b71888/loudonstraat,80,4,,,2593RX,2021-08-12
18,2600,2518 DJ Den Haag (Willemspark),Apartment Zeestraat 237,The Hague Real Estate Services,/apartment-for-rent/den-haag/72a25368/zeestraat,132,3,Upholstered,,2518DJ,2021-08-12
19,2400,2518 DJ Den Haag (Willemspark),Apartment Zeestraat 231,The Hague Real Estate Services,/apartment-for-rent/den-haag/c05490ca/zeestraat,125,3,Upholstered,,2518DJ,2021-08-12
20,2450,2562 BG Den Haag (Valkenboskwartier),Apartment Beeklaan,Residence Makelaars,/apartment-for-rent/den-haag/243c873a/beeklaan,140,6,,,2562BG,2021-08-12
21,2250,2517 RR Den Haag (Sweelinckplein en omgeving),Apartment Archimedesstraat 57,Expat & Real Estate B.V.,/apartment-for-rent/den-haag/dbd9c21e/archimedesstraat,130,5,Upholstered,80,2517RR,2021-08-12
22,1050,2583 AH Den Haag (Geuzenkwartier),Apartment Westduinweg,Interhouse verhuurmakelaars Den Haag,/apartment-for-rent/den-haag/bf5f33c4/westduinweg,70,4,Shell,,2583AH,2021-08-12
23,1100,2523 KC Den Haag (Laakkwartier-West),Apartment Dautzenbergstraat 53,Rent a Stone,/apartment-for-rent/den-haag/15c33557/dautzenbergstraat,71,4,,,2523KC,2021-08-12
24,1075,2522 VC Den Haag (Laakkwartier-Oost),Apartment Koopmans van Boekerenstraat,NumberXII Exclusive Real Estate,/apartment-for-rent/den-haag/9720bce4/koopmans-van-boekerenstraat,85,4,Upholstered,,2522VC,2021-08-12
25,1250,2517 GT Den Haag (Sweelinckplein en omgeving),Apartment 2e Sweelinckstraat,Meesters Makelaars,/apartment-for-rent/den-haag/1c09b8ef/2e-sweelinckstraat,72,3,Upholstered or furnished,,2517GT,2021-08-12
26,1295,2574 BM Den Haag (Leyenburg),Apartment Soestdijksekade,De Bloois Vastgoed,/apartment-for-rent/den-haag/3a4569c1/soestdijksekade,77,3,Upholstered,,2574BM,2021-08-12
27,2311,2595 TM Den Haag (Bezuidenhout-Midden),Apartment Koningin Sophiestraat,Hello Housing,/apartment-for-rent/den-haag/67acf07d/koningin-sophiestraat,93,3,Upholstered or furnished,,2595TM,2021-08-12
28,2000,2511 EG Den Haag (Uilebomen),Apartment Herengracht,Hello Housing,/apartment-for-rent/den-haag/ce472309/herengracht,86,3,Upholstered or furnished,,2511EG,2021-08-12
29,2406,2596 JR Den Haag (Arendsdorp),Apartment Oostduinplein,Hello Housing,/apartment-for-rent/den-haag/a511af60/oostduinplein,92,3,Upholstered or furnished,,2596JR,2021-08-12
