,price,address,street,agency,irl,image,Living area,Rooms,interior,status,garden area,Year of construction,plot area,postcode,date
17,990,6241 NS Bunde (Kasen),Apartment Op de Locht,Prohousing,/apartment-for-rent/bunde/668a283f/op-de-locht,https://casco-media-prod.global.ssl.fastly.net/668a283f-7981-5e82-bf98-a39f8f170873/1c2a141d49d7b6d58851d69c386f377b.jpg?width=600&auto=webp,65,3,Furnished,,,,,6241NS,2021-10-01
18,1300,5611 NA Eindhoven (Binnenstad),Apartment Stratumsedijk,Brick Vastgoed,/apartment-for-rent/eindhoven/a9a61c4f/stratumsedijk,https://media.pararius.nl/image/PR0001658000/PR0001658786/image/jpeg/400x600/EindhovenStratumsedijk-2428_1.jpg,80,2,Furnished,,,,,5611NA,2021-10-01
19,975,2314 VJ Leiden (Meerburg),Apartment Lekstraat,Forest Real Estate,/apartment-for-rent/leiden/0dad9937/lekstraat,https://casco-media-prod.global.ssl.fastly.net/0dad9937-4a8b-559f-92ba-4e248d3b330e/67c530e17bcb3c5d4701784223df4c20.jpg?width=600&auto=webp,55,2,Upholstered,,,,,2314VJ,2021-10-01
20,1300,2583 CV Den Haag (Vissershaven),Apartment Korbootstraat,A&N Vastgoed,/apartment-for-rent/den-haag/460541a5/korbootstraat,https://casco-media-prod.global.ssl.fastly.net/460541a5-5b5c-54cd-a1a3-bafde660f5f7/83df8856b562650a2b44b7e079946e6f.jpg?width=600&auto=webp,58,3,Upholstered,,,,,2583CV,2021-10-01
21,1350,2583 CV Den Haag (Vissershaven),Apartment Korbootstraat,A&N Vastgoed,/apartment-for-rent/den-haag/71fdd923/korbootstraat,https://casco-media-prod.global.ssl.fastly.net/71fdd923-bb25-5004-a197-c58762fed67f/7ba82439f69ddd2de000f3e11232c2c5.jpg?width=600&auto=webp,58,3,Upholstered,,,,,2583CV,2021-10-01
22,1350,2583 CV Den Haag (Vissershaven),Apartment Korbootstraat,A&N Vastgoed,/apartment-for-rent/den-haag/adfd1318/korbootstraat,https://casco-media-prod.global.ssl.fastly.net/adfd1318-355c-5b7c-985a-744b277c22fc/9f902fea188862bad80356b6bf3eec31.jpg?width=600&auto=webp,58,3,Upholstered,,,,,2583CV,2021-10-01
23,1600,1021 BV Amsterdam (IJplein/Vogelbuurt),Apartment Adelaarsweg,Expats. Amsterdam Rentals ,/apartment-for-rent/amsterdam/88e1d747/adelaarsweg,https://media.pararius.nl/image/PR0001658000/PR0001658785/image/jpeg/400x600/AmsterdamAdelaarsweg-f533_1.jpg,53,2,Furnished,,,,,1021BV,2021-10-01
24,925,2611 KM Delft (Centrum-Oost),House Trompetstraat,Rotsvast Delflanden,/house-for-rent/delft/5634b3c8/trompetstraat,https://casco-media-prod.global.ssl.fastly.net/5634b3c8-94ce-51bd-b412-48a00981e0d6/7a53694b8a195a9eaf9d64d6a56787dd.jpg?width=600&auto=webp,55,2,Upholstered,,,,,2611KM,2021-10-01
25,1050,2612 CE Delft (Indische Buurt-Zuid),Apartment Brasserskade,Rotsvast Delflanden,/apartment-for-rent/delft/5c6fc089/brasserskade,https://casco-media-prod.global.ssl.fastly.net/5c6fc089-192e-5d9c-8bd9-3e553452e73c/638b72f8132dd934710806adf7ff5a5e.jpg?width=600&auto=webp,50,2,Upholstered,,,,,2612CE,2021-10-01
26,1300,2611 NH Delft (Centrum-Oost),Apartment Verwersdijk,Rotsvast Delflanden,/apartment-for-rent/delft/3962ddeb/verwersdijk,https://casco-media-prod.global.ssl.fastly.net/3962ddeb-2f36-5362-87a1-583e0b2d0e57/acfcb062266800f1420ed055a6bde506.jpg?width=600&auto=webp,70,3,Upholstered,,,,,2611NH,2021-10-01
