,postcode,latitude,longitude,Straat,Netnummer,Postcodenummer,Buurt,Wijk,Plaats,Gemeente,Provincie,Straten
5146,7607EG,52.358906119707,6.6640793617628,Schalderoi 1 - 25 ,546,7607,Binnenstad-Noord,Wijk 10 Binnenstad,Almelo,Almelo,Overijssel,"
Begijnhof 1 - 3 

Rapenburg 58 - 70 

"
5147,1075ES,52.353370870683,4.8662409276877,Valeriusstraat 123 - 135 ,20,1075,Valeriusbuurt Oost,Willemspark,Amsterdam,Amsterdam,Noord-Holland,"
Begijnhof 1 - 3 

Rapenburg 58 - 70 

"
5148,6211JZ,50.843225647115,5.6936928773929,Prins Hessen Casselstraat 2 - 15 ,43,6211,Jekerkwartier,Wijk 00 Centrum,Maastricht,Maastricht,Limburg,"
Begijnhof 1 - 3 

Rapenburg 58 - 70 

"
5149,7831HS,52.867571873539,7.0065365541923,Weerdingerkanaal NZ 229 - 243 ,591,7831,Weerdingerkanaal,Wijk 01 Nieuw-Weerdinge,Nieuw-Weerdinge,Emmen,Drenthe,"
Begijnhof 1 - 3 

Rapenburg 58 - 70 

"
5150,3038PG,51.93429571296,4.4623778051958,Abraham Kuyperlaan 79 - 93 ,10,3038,Bergpolder,Noord,Rotterdam,Rotterdam,Zuid-Holland,"
Begijnhof 1 - 3 

Rapenburg 58 - 70 

"
5151,2613DJ,52.01189260112,4.3489902941737,C. Fockstraat 100 - 148 ,15,2613,Ministersbuurt-Oost,Wijk 13 Hof van Delft,Delft,Delft,Zuid-Holland,"
Begijnhof 1 - 3 

Rapenburg 58 - 70 

"
5152,2275AB,52.063973863308,4.3569388738246,Westeinde 7 - 49 ,70,2275,Voorburg West,Wijk 12 Voorburg West,Voorburg,Leidschendam-Voorburg,Zuid-Holland,"
Begijnhof 1 - 3 

Rapenburg 58 - 70 

"
5153,9983PE,53.420231284052,6.7638000511127,Hooilandseweg 6 - 48 ,595,9983,Roodeschool,Wijk 01,Roodeschool,Het Hogeland,Groningen,"
Begijnhof 1 - 3 

Rapenburg 58 - 70 

"
5154,2593VS,52.082854979616,4.344471016324,Maystraat 35 - 69 ,70,2593,Bezuidenhout-Oost,Wijk 26 Bezuidenhout,Den Haag,'s-Gravenhage,Zuid-Holland,"
Begijnhof 1 - 3 

Rapenburg 58 - 70 

"
5155,2312TB,52.157506491385,4.4982155725294,Uiterstegracht 1 - 105 ,71,2312,Pancras-Oost,Binnenstad-Noord,Leiden,Leiden,Zuid-Holland,"
Begijnhof 1 - 3 

Rapenburg 58 - 70 

"
