city,latitude,longitude,Provincie,population
Buren,51.9108,5.3336,Gelderland,2701.0
Asperen,51.8814,5.1067,Gelderland,2695.0
Callantsoog,52.8372,4.6967,Noord-Holland,2680.0
Grevenbicht,51.0417,5.7728,Limburg,2626.0
Giethoorn,52.7397,6.0775,Overijssel,2620.0
Udenhout,51.6094,5.1403,Noord-Brabant,2604.0
Thorn,51.1667,5.8333,Limburg,2602.0
Oldehove,53.3025,6.3928,Groningen,2600.0
Nieuwendam,52.3915,4.9341,Noord-Holland,2587.0
Vlodrop,51.1333,6.0739,Limburg,2578.0
Capelle,51.6922,4.9853,Noord-Brabant,2551.0
Varsseveld,51.9433,6.4594,Gelderland,2545.0
Wemeldinge,51.5175,3.9956,Zeeland,2537.0
Groede,51.3789,3.5069,Zeeland,2537.0
Nieuw-Helvoet,51.8381,4.1297,Zuid-Holland,2507.0
Maarsseveen,52.1408,5.0736,Utrecht,2506.0
Bergharen,51.85,5.6689,Gelderland,2482.0
Heeswijk,51.6514,5.4672,Noord-Brabant,2476.0
Baexem,51.2244,5.88,Limburg,2469.0
Stedum,53.3225,6.6958,Groningen,2466.0
Cothen,51.9961,5.3097,Utrecht,2458.0
Streefkerk,51.8994,4.7419,Zuid-Holland,2438.0
Loppersum,53.3317,6.7469,Groningen,2435.0
Stoutenburg,52.1539,5.4325,Utrecht,2433.0
Herwijnen,51.8253,5.1303,Gelderland,2418.0
Broek op Langedijk,52.6725,4.8056,Noord-Holland,2408.0
Geervliet,51.8611,4.2622,Zuid-Holland,2393.0
Avenhorn,52.62,4.9542,Noord-Holland,2330.0
Ursem,52.6272,4.8917,Noord-Holland,2323.0
Sambeek,51.6361,5.9661,Noord-Brabant,2295.0
Oldekerk,53.2194,6.3389,Groningen,2282.0
Nieuwolda,53.2447,6.9758,Groningen,2282.0
Kantens,53.3656,6.6339,Groningen,2248.0
Pannerden,51.89,6.0378,Gelderland,2244.0
Spanbroek,52.6981,4.9608,Noord-Holland,2232.0
Nieuw-Vossemeer,51.5897,4.2181,Noord-Brabant,2219.0
Winkel,52.7519,4.9036,Noord-Holland,2217.0
Nieuwe-Tonge,51.715,4.1653,Zuid-Holland,2190.0
Ezinge,53.3092,6.4431,Groningen,2152.0
Sint Maarten,52.7717,4.7475,Noord-Holland,2139.0
Wadenoijen,51.8736,5.3722,Gelderland,2136.0
Huijbergen,51.4325,4.3744,Noord-Brabant,2133.0
Westmaas,51.7833,4.4667,Zuid-Holland,2126.0
Geesteren,52.1389,6.5264,Gelderland,2116.0
Tricht,51.89,5.2725,Gelderland,2112.0
Waardenburg,51.8322,5.2558,Gelderland,2106.0
Vaassen,52.2881,5.9694,Gelderland,2087.0
Nederlangbroek,52.0122,5.3269,Utrecht,2075.0
Nieuwe-Niedorp,52.738,4.8962,Noord-Holland,2049.0
Melissant,51.7681,4.0761,Zuid-Holland,2035.0
Ransdorp,52.3931,4.9942,Noord-Holland,2013.0
Riethoven,51.3536,5.3864,Noord-Brabant,2003.0
De Rijp,52.5569,4.8453,Noord-Holland,1998.0
Meeden,53.1389,6.9275,Groningen,1989.0
Noord-Scharwoude,52.7006,4.8103,Noord-Holland,1977.0
Op-Andel,51.7839,5.0539,Noord-Brabant,1977.0
Schalkwijk,51.9939,5.1872,Utrecht,1971.0
Oud-Alblas,51.8569,4.7047,Zuid-Holland,1970.0
Usquert,53.4028,6.6128,Groningen,1967.0
Neeritter,51.1644,5.8036,Limburg,1950.0
Stellendam,51.8047,4.0242,Zuid-Holland,1950.0
Stavenisse,51.5861,4.0122,Zeeland,1945.0
Esch,51.6103,5.2906,Noord-Brabant,1937.0
Den Bommel,51.7153,4.285,Zuid-Holland,1937.0
Zegveld,52.1161,4.8347,Utrecht,1909.0
Hegelsom,51.44,6.0375,Limburg,1907.0
Broekhuizen,51.4853,6.1633,Limburg,1906.0
Everdingen,51.9647,5.1564,Zuid-Holland,1894.0
Merkelbeek,50.9542,5.9403,Limburg,1874.0
Oudkarspel,52.7114,4.8017,Noord-Holland,1873.0
Vierpolders,51.8783,4.1794,Zuid-Holland,1872.0
Nieuwenhoorn,51.8542,4.1453,Zuid-Holland,1866.0
Mheer,50.7828,5.7931,Limburg,1851.0
Stoppeldijkveer,51.3219,3.9856,Zeeland,1822.0
Zuidland,51.8219,4.2581,Zuid-Holland,1808.0
Buiksloot,52.3989,4.9221,Noord-Holland,1801.0
Herpen,51.7717,5.6417,Noord-Brabant,1801.0
Grootebroek,52.6989,5.2189,Noord-Holland,1796.0
Wanneperveen,52.7044,6.1206,Overijssel,1788.0
Westwoud,52.6864,5.1333,Noord-Holland,1743.0
Zuid-Scharwoude,52.6842,4.8081,Noord-Holland,1732.0
Beltrum,52.0689,6.5658,Gelderland,1725.0
Goudswaard,51.7936,4.2783,Zuid-Holland,1723.0
Besoijen,51.6833,5.05,Noord-Brabant,1705.0
Baardwijk,51.6919,5.0956,Noord-Brabant,1705.0
Rozendaal,52.0,5.9667,Gelderland,1704.0
Harfsen,52.2075,6.2972,Gelderland,1678.0
Jaarsveld,51.9694,4.9772,Utrecht,1672.0
Blokzijl,52.7264,5.9617,Overijssel,1666.0
Graft,52.5608,4.8339,Noord-Holland,1651.0
Veere,51.55,3.6667,Zeeland,1650.0
Terborg,51.9203,6.3575,Gelderland,1643.0
Engelen,51.7208,5.2658,Noord-Brabant,1617.0
Borssele,51.4231,3.7353,Zeeland,1615.0
Oude-Niedorp,52.7178,4.8719,Noord-Holland,1609.0
Stevensweert,51.1292,5.8483,Limburg,1588.0
Werkhoven,52.0239,5.2431,Utrecht,1580.0
Schin op Geul,50.8542,5.8694,Limburg,1579.0
Veen,51.7769,5.1097,Noord-Brabant,1579.0
Boven-Leeuwen,51.8842,5.5294,Gelderland,1565.0
Colijnsplaat,51.5986,3.8481,Zeeland,1563.0
Aagtekerke,51.5464,3.5094,Zeeland,1556.0
Domburg,51.5625,3.4964,Zeeland,1553.0
Noordeloos,51.9042,4.9417,Zuid-Holland,1536.0
Oosterbeek,51.9847,5.8444,Gelderland,1533.0
Oudenhoorn,51.8269,4.1917,Zuid-Holland,1530.0
Bredevoort,51.95,6.6167,Gelderland,1525.0
Ochten,51.9078,5.5678,Gelderland,1522.0
Gronsveld,50.8086,5.73,Limburg,1517.0
Opperdoes,52.7597,5.0781,Noord-Holland,1512.0
Abbekerk,52.7308,5.0175,Noord-Holland,1495.0
Sint Geertruid,50.7964,5.7656,Limburg,1482.0
Wieringerwaard,52.84,4.8678,Noord-Holland,1479.0
Nieuwkuijk,51.6936,5.1806,Noord-Brabant,1472.0
Hoornaar,51.8767,4.9469,Zuid-Holland,1468.0
Nijbroek,52.2928,6.0625,Gelderland,1455.0
Berkenwoude,51.9453,4.7089,Zuid-Holland,1449.0
Schoonrewoerd,51.9206,5.1158,Zuid-Holland,1448.0
Midwoud,52.7178,5.0736,Noord-Holland,1440.0
Velp,51.9947,5.9758,Gelderland,1437.0
Horssen,51.8556,5.6086,Gelderland,1418.0
Wanssum,51.5358,6.0753,Limburg,1414.0
Piershil,51.7933,4.3147,Zuid-Holland,1406.0
Hoogblokland,51.8742,4.975,Zuid-Holland,1392.0
Hedikhuizen,51.7356,5.1839,Noord-Brabant,1387.0
Herveld,51.8989,5.7475,Gelderland,1383.0
Vreeland,52.2297,5.0311,Utrecht,1373.0
Zwartewaal,51.8833,4.2208,Zuid-Holland,1366.0
Varik,51.8233,5.3692,Gelderland,1363.0
Garderen,52.2331,5.7139,Gelderland,1361.0
Schimmert,50.9056,5.8219,Limburg,1356.0
Brouwershaven,51.7264,3.9142,Zeeland,1352.0
Lunteren,52.0872,5.6219,Gelderland,1328.0
Stad aan ’t Haringvliet,51.7392,4.2419,Zuid-Holland,1323.0
Wijdewormer,52.5002,4.8924,Noord-Holland,1321.0
Vinkeveen,52.2128,4.9272,Utrecht,1316.0
Oudenrijn,52.0819,5.06,Utrecht,1312.0
Rijswijk,51.7975,5.0236,Noord-Brabant,1310.0
Zes Gehuchten,51.4211,5.5378,Noord-Brabant,1302.0
Rijnsaterwoude,52.1986,4.6694,Zuid-Holland,1300.0
Netterden,51.8544,6.3142,Gelderland,1300.0
Etten,51.9167,6.3364,Gelderland,1281.0
Eede,51.2467,3.4436,Zeeland,1275.0
Kattendijke,51.5228,3.9433,Zeeland,1274.0
Posterholt,51.1219,6.0378,Limburg,1270.0
Leerbroek,51.9089,5.0514,Zuid-Holland,1263.0
Oosthuizen,52.5708,4.9958,Noord-Holland,1262.0
Rijsenburg,52.0436,5.2531,Utrecht,1251.0
Nigtevecht,52.2742,5.0278,Utrecht,1245.0
Hoogvliet,51.8667,4.35,Zuid-Holland,1227.0
Wilp,52.2186,6.1497,Gelderland,1221.0
Kedichem,51.86,5.0503,Zuid-Holland,1217.0
Nieuwpoort,51.9347,4.8681,Zuid-Holland,1213.0
Giessen,51.7886,5.0328,Noord-Brabant,1209.0
Zuilichem,51.8086,5.1344,Gelderland,1199.0
Ophemert,51.8453,5.3842,Gelderland,1187.0
Voorthuizen,52.1861,5.6067,Gelderland,1185.0
Groot-Ammers,51.9236,4.8206,Zuid-Holland,1173.0
Staveren,52.8833,5.3583,Fryslân,1172.0
Bleskensgraaf,51.8719,4.7828,Zuid-Holland,1167.0
Hooge Mierde,51.3986,5.1409,Noord-Brabant,1164.0
Heerewaarden,51.8178,5.3917,Gelderland,1149.0
Genderen,51.7353,5.0878,Noord-Brabant,1149.0
Noorbeek,50.7681,5.8131,Limburg,1147.0
Polsbroek,51.9781,4.8519,Utrecht,1139.0
Brandwijk,51.8886,4.8136,Zuid-Holland,1139.0
Hekelingen,51.8267,4.3422,Zuid-Holland,1125.0
Westkapelle,51.5293,3.4409,Zeeland,1115.0
Nieuwerkerke,51.7,3.8903,Zeeland,1108.0
Schelluinen,51.8425,4.9258,Zuid-Holland,1103.0
Zuidzande,51.3411,3.4519,Zeeland,1098.0
Odijk,52.0503,5.2333,Utrecht,1097.0
Oud-Heusden,51.7231,5.1361,Noord-Brabant,1082.0
Ankeveen,52.2653,5.0989,Noord-Holland,1073.0
Willeskop,52.0242,4.9014,Utrecht,1070.0
Herkingen,51.71,4.0872,Zuid-Holland,1066.0
Zonnemaire,51.7125,3.9508,Zeeland,1060.0
Nederhemert,51.7652,5.1682,Gelderland,1058.0
Lent,51.8631,5.8667,Gelderland,1053.0
Twello,52.2333,6.1022,Gelderland,1051.0
Kerkbuurt,52.4581,5.1067,Noord-Holland,1036.0
Barwoutswaarder,52.0825,4.8636,Zuid-Holland,1035.0
Goudriaan,51.9028,4.8881,Zuid-Holland,1033.0
Waarder,52.0614,4.8225,Zuid-Holland,1014.0
Doorwerth,51.9781,5.7953,Gelderland,1009.0
Reek,51.7447,5.6831,Noord-Brabant,1007.0
Jisp,52.5,4.8333,Noord-Holland,1001.0
Twisk,52.7403,5.0517,Noord-Holland,992.0
Zuiddorpe,51.2342,3.9017,Zeeland,983.0
Groote Lindt,51.8106,4.6289,Zuid-Holland,981.0
Schore,51.4625,3.9989,Zeeland,978.0
Molenaarsgraaf,51.8767,4.8231,Zuid-Holland,970.0
Oterleek,52.6333,4.8417,Noord-Holland,969.0
Lierop,51.4178,5.6819,Noord-Brabant,944.0
Dalem,51.8278,5.0094,Gelderland,937.0
Schiermonnikoog,53.4892,6.2022,Fryslân,936.0
Veessen,52.3761,6.0892,Gelderland,928.0
Middelie,52.5322,5.0172,Noord-Holland,921.0
Grijpskerke,51.5339,3.5617,Zeeland,920.0
Rilland,51.4164,4.1808,Zeeland,917.0
Ossenisse,51.3883,3.9778,Zeeland,904.0
Broeksittard,51.0,5.8833,Limburg,899.0
Sloten,52.8944,5.6453,Fryslân,899.0
Achttienhoven,52.1483,5.1389,Utrecht,898.0
Ottoland,51.8931,4.8756,Zuid-Holland,895.0
Bennekom,51.9994,5.6756,Gelderland,885.0
Noordgouwe,51.6936,3.9386,Zeeland,882.0
Veldhuizen,52.0764,5.0075,Utrecht,869.0
Hall,52.11,6.1014,Gelderland,850.0
Hekendorp,52.0153,4.8092,Zuid-Holland,843.0
Sluipwijk,52.0553,4.7419,Zuid-Holland,840.0
Snelrewaard,52.0331,4.9169,Utrecht,799.0
Schellinkhout,52.6342,5.1203,Noord-Holland,792.0
Oudelande,51.4083,3.8536,Zeeland,779.0
Rietveld,52.0897,4.8511,Zuid-Holland,767.0
Ellewoutsdijk,51.3903,3.8158,Zeeland,761.0
Buggenum,51.2314,5.9825,Limburg,755.0
Jabeek,50.9808,5.9417,Limburg,754.0
Meliskerke,51.5153,3.5119,Zeeland,749.0
Lithoijen,51.8025,5.4633,Noord-Brabant,746.0
Grafhorst,52.5825,5.9339,Overijssel,739.0
Hoenkoop,52.0153,4.8092,Utrecht,724.0
Sint Kruis,51.2731,3.4997,Zeeland,721.0
Winssen,51.8833,5.7,Gelderland,708.0
Batenburg,51.8233,5.6278,Gelderland,700.0
Loenersloot,52.2297,5.0014,Utrecht,700.0
Vlierden,51.4456,5.7581,Noord-Brabant,699.0
Opijnen,51.8278,5.2983,Gelderland,698.0
Waterlandkerkje,51.3175,3.5539,Zeeland,689.0
Slenaken,50.7678,5.8622,Limburg,684.0
Wijngaarden,51.8444,4.7611,Zuid-Holland,684.0
Gassel,51.7403,5.7803,Noord-Brabant,653.0
Maasbommel,51.8208,5.5364,Gelderland,648.0
Borgharen,50.8781,5.6883,Limburg,645.0
Spaarnwoude,52.4039,4.6942,Noord-Holland,644.0
Heukelum,51.8731,5.0767,Zuid-Holland,642.0
Dommelen,51.3569,5.4306,Noord-Brabant,640.0
Otterlo,52.1,5.7833,Gelderland,628.0
Bruchem,51.7853,5.2367,Gelderland,620.0
Hurwenen,51.8106,5.3178,Gelderland,618.0
Elkerzee,51.725,3.8436,Zeeland,615.0
Zuidveen,52.7769,6.1083,Overijssel,610.0
IJzendoorn,51.9064,5.5331,Gelderland,604.0
Hernen,51.8331,5.6806,Gelderland,600.0
Herpt,51.7333,5.15,Noord-Brabant,593.0
Verwolde,52.2006,6.3919,Gelderland,583.0
Ellemeet,51.7297,3.8164,Zeeland,582.0
Haarzuilens,52.1214,4.9964,Utrecht,572.0
Montfort,51.1261,5.9486,Limburg,562.0
Blankenham,52.7647,5.8964,Overijssel,561.0
Bommenede,51.7344,3.9789,Zeeland,545.0
Vrijhoeve-Capelle,51.6667,5.0333,Noord-Brabant,543.0
Oost-Souburg,51.4636,3.6008,Zeeland,541.0
Warder,52.5641,5.0311,Noord-Holland,538.0
Tempel,51.9656,4.4461,Zuid-Holland,537.0
Waverveen,52.2206,4.8961,Utrecht,537.0
Balgoij,51.7803,5.7139,Gelderland,510.0
Stein,52.0,4.7833,Zuid-Holland,496.0
Deursen,51.802,5.625,Noord-Brabant,494.0
Oost-Knollendam,52.5172,4.7903,Noord-Holland,492.0
Laagnieuwkoop,52.1322,4.9836,Utrecht,489.0
Kwadijk,52.5275,4.9811,Noord-Holland,487.0
Pieterburen,53.4,6.4531,Groningen,455.0
Velp,51.7478,5.7172,Noord-Brabant,452.0
Wieldrecht,51.7833,4.65,Zuid-Holland,442.0
Sint Anthoniepolder,51.7972,4.5333,Zuid-Holland,433.0
Sandelingen-Ambacht,51.8458,4.6167,Zuid-Holland,425.0
Oudhuizen,52.2,4.9333,Utrecht,413.0
Petten,52.7678,4.6583,Noord-Holland,411.0
Spijk,51.855,5.0078,Zuid-Holland,409.0
Puiflijk,51.8792,5.5903,Gelderland,401.0
Drongelen,51.715,5.0542,Noord-Brabant,398.0
Peursum,51.85,4.9167,Zuid-Holland,393.0
Rijckholt,50.7994,5.7311,Limburg,375.0
Kleine-Lindt,51.8294,4.575,Zuid-Holland,364.0
Rimburg,50.9169,6.0867,Limburg,352.0
Grosthuizen,52.6167,4.9833,Noord-Holland,337.0
Nunhem,51.2447,5.9611,Limburg,337.0
Strucht,50.85,5.8667,Limburg,333.0
Ittervoort,51.1719,5.8211,Limburg,330.0
Cillaarshoek,51.7706,4.5461,Zuid-Holland,312.0
Strijensas,51.7158,4.5861,Zuid-Holland,306.0
Mesch,50.7631,5.7328,Limburg,302.0
Hoogmade,52.1692,4.5819,Zuid-Holland,291.0
Haarlemmerliede,52.3881,4.6875,Noord-Holland,290.0
Oud-Wulven,52.0444,5.155,Utrecht,286.0
Weurt,51.8833,5.7,Gelderland,283.0
Hoenzadriel,51.75,5.3333,Gelderland,278.0
Sterkenburg,52.0223,5.2826,Utrecht,275.0
Zouteveen,51.95,4.3339,Zuid-Holland,274.0
Katwoude,52.4694,5.0506,Noord-Holland,274.0
Bokhoven,51.7372,5.2319,Noord-Brabant,260.0
Kats,51.5672,3.8856,Zeeland,256.0
Darthuizen,52.0125,5.3981,Utrecht,251.0
Stormpolder,51.9117,4.5744,Zuid-Holland,248.0
Schiedam,51.9192,4.3889,Zuid-Holland,
Zoetermeer,52.0575,4.4931,Zuid-Holland,
Hoorn,52.6425,5.0597,Noord-Holland,
Rijswijk,52.0363,4.325,Zuid-Holland,
Nijmegen,51.8425,5.8528,Gelderland,
Papendrecht,51.8317,4.6875,Zuid-Holland,
Alkmaar,52.632,4.751,Noord-Holland,
Vlaardingen,51.9125,4.3417,Zuid-Holland,
Barendrecht,51.8567,4.5347,Zuid-Holland,
Amersfoort,52.155,5.3875,Utrecht,
Voorschoten,52.1275,4.4486,Zuid-Holland,
Alblasserdam,51.8658,4.6611,Zuid-Holland,
Amstelveen,52.3008,4.8639,Noord-Holland,
Leiden,52.1583,4.4931,Zuid-Holland,
Tilburg,51.5572,5.0911,Noord-Brabant,
Helmond,51.4817,5.6611,Noord-Brabant,
Volendam,52.4994,5.0675,Noord-Holland,
Pijnacker,52.0183,4.4361,Zuid-Holland,
Lisse,52.26,4.5569,Zuid-Holland,
Hillegom,52.2908,4.5833,Zuid-Holland,
Hengelo,52.2658,6.7931,Overijssel,
Dordrecht,51.81,4.6736,Zuid-Holland,
Enkhuizen,52.7033,5.2917,Noord-Holland,
Naaldwijk,51.9936,4.2133,Zuid-Holland,
Wageningen,51.97,5.6667,Gelderland,
Enschede,52.2183,6.8958,Overijssel,
Almelo,52.3567,6.6625,Overijssel,
Schagen,52.7886,4.8019,Noord-Holland,
Soest,52.1733,5.2917,Utrecht,
Uithoorn,52.2375,4.8264,Noord-Holland,
Best,51.5075,5.3903,Noord-Brabant,
Hoofddorp,52.3,4.6667,Noord-Holland,
Waddinxveen,52.045,4.6514,Zuid-Holland,
Weesp,52.3075,5.0417,Noord-Holland,
Vught,51.6558,5.2936,Noord-Brabant,
Halfweg,52.3828,4.755,Noord-Holland,
Baarn,52.2117,5.2875,Utrecht,
Raamsdonksveer,51.6993,4.8792,Noord-Brabant,
Doetinchem,51.9656,6.2889,Gelderland,
Waalwijk,51.6825,5.0694,Noord-Brabant,
Noordwijkerhout,52.2617,4.4931,Zuid-Holland,
Simpelveld,50.8339,5.9814,Limburg,
Bunschoten-Spakenburg,52.2417,5.3748,Utrecht,
Nuenen,51.4667,5.55,Noord-Brabant,
Bilthoven,52.1283,5.1986,Utrecht,
Nijkerk,52.2214,5.4842,Gelderland,
Meppel,52.6958,6.1944,Drenthe,
Kaatsheuvel,51.6667,5.0667,Noord-Brabant,
Oss,51.765,5.5181,Noord-Brabant,
Overveen,52.4,4.6,Noord-Holland,
De Steeg,52.0197,6.0608,Gelderland,
Brielle,51.9017,4.1625,Zuid-Holland,
Hoogezand,53.1572,6.7533,Groningen,
Vianen,51.9889,5.0917,Utrecht,
Reuver,51.285,6.0792,Limburg,
Appingedam,53.3217,6.8583,Groningen,
Wijk bij Duurstede,51.9742,5.3417,Utrecht,
Drachten,53.1,6.1,Fryslân,
Weert,51.251,5.709,Limburg,
Nuth,50.9175,5.8861,Limburg,
Valkenburg,50.8652,5.832,Limburg,
Mook,51.7525,5.8817,Limburg,
Nieuw-Loosdrecht,52.2019,5.1406,Noord-Holland,
Malden,51.7808,5.8544,Gelderland,
Rijen,51.592,4.9168,Noord-Brabant,
Voerendaal,50.8825,5.9272,Limburg,
Landsmeer,52.4308,4.9153,Noord-Holland,
Haren,53.1721,6.6093,Groningen,
Roelofarendsveen,52.2061,4.6361,Zuid-Holland,
Oudenbosch,51.5892,4.5239,Noord-Brabant,
Elburg,52.45,5.8333,Gelderland,
Opheusden,51.9333,5.6297,Gelderland,
Kerkdriel,51.7711,5.3367,Gelderland,
Veendam,53.1061,6.8719,Groningen,
Montfoort,52.0458,4.9528,Utrecht,
Rucphen,51.5325,4.5583,Noord-Brabant,
Nieuwveen,52.1944,4.7569,Zuid-Holland,
Hazerswoude-Rijndijk,52.1292,4.5931,Zuid-Holland,
Leek,53.1616,6.3847,Groningen,
Geffen,51.7392,5.4639,Noord-Brabant,
Gendringen,51.8733,6.3764,Gelderland,
Woudrichem,51.8128,5.0003,Noord-Brabant,
De Goorn,52.6303,4.9444,Noord-Holland,
Panningen,51.3275,5.9817,Limburg,
Buitenpost,53.25,6.15,Fryslân,
Bergambacht,51.9328,4.7936,Zuid-Holland,
Lobith,51.8617,6.1181,Gelderland,
Geldermalsen,51.8789,5.2897,Gelderland,
Rockanje,51.8706,4.0689,Zuid-Holland,
Nijverdal,52.3631,6.4617,Overijssel,
Wierden,52.3592,6.5931,Overijssel,
Made,51.6764,4.7925,Noord-Brabant,
Brummen,52.0833,6.15,Gelderland,
Stiens,53.2608,5.7575,Fryslân,
Hoogerheide,51.4239,4.3239,Noord-Brabant,
Oudewater,52.025,4.8681,Utrecht,
Beek-Ubbergen,51.8292,5.9258,Gelderland,
Gemert,51.5558,5.6867,Noord-Brabant,
Beneden-Leeuwen,51.8811,5.5178,Gelderland,
Bedum,53.3003,6.6025,Groningen,
Heerde,52.3833,6.0333,Gelderland,
Haaksbergen,52.1567,6.7389,Overijssel,
Damwâld,53.29,5.9957,Fryslân,
Horst,51.4514,6.0536,Limburg,
Raalte,52.3828,6.2828,Overijssel,
Stadskanaal,52.9895,6.9504,Groningen,
Terneuzen,51.3333,3.8333,Zeeland,
Burgum,53.1922,5.9942,Fryslân,
Nunspeet,52.3667,5.7833,Gelderland,
Epe,52.3464,5.9842,Gelderland,
Mill,51.685,5.7836,Noord-Brabant,
Abbenbroek,51.8486,4.2428,Zuid-Holland,
Kruiningen,51.4481,4.0342,Zeeland,
Gulpen,50.8156,5.8886,Limburg,
Menaam,53.2158,5.6606,Fryslân,
Delfzijl,53.33,6.9181,Groningen,
Lemmer,52.8437,5.7093,Fryslân,
Tholen,51.5322,4.2206,Zeeland,
Dalfsen,52.5064,6.2606,Overijssel,
Strijen,51.7452,4.5508,Zuid-Holland,
Nederweert,51.2858,5.7486,Limburg,
Marum,53.1442,6.2678,Groningen,
Heinkenszand,51.473,3.8128,Zeeland,
Lochem,52.1606,6.4158,Gelderland,
Steenbergen,51.5841,4.3177,Noord-Brabant,
Roden,53.14,6.4262,Drenthe,
Wijhe,52.3864,6.1333,Overijssel,
Heeze,51.3828,5.5715,Noord-Brabant,
Joure,52.9661,5.7997,Fryslân,
Denekamp,52.3794,7.0089,Overijssel,
Grootegast,53.2093,6.2711,Groningen,
Hulst,51.28,4.0528,Zeeland,
Beetsterzwaag,53.0611,6.0775,Fryslân,
Grou,53.1,5.83,Fryslân,
Coevorden,52.661,6.7405,Drenthe,
Sint Annaparochie,53.2764,5.6572,Fryslân,
Middenbeemster,52.5483,4.9197,Noord-Holland,
Wolvega,52.8755,5.9969,Fryslân,
Oosterwolde,52.9903,6.2914,Fryslân,
Kollum,53.2792,6.1508,Fryslân,
Balk,52.8983,5.5783,Fryslân,
Zuidwolde,52.6746,6.4247,Drenthe,
Emmeloord,52.7097,5.7508,Flevoland,
Slochteren,53.2208,6.8055,Groningen,
Alphen,51.483,4.9562,Noord-Brabant,
Wissenkerke,51.5855,3.7472,Zeeland,
Exloo,52.8802,6.8611,Drenthe,
Ferwert,53.3378,5.8247,Fryslân,
Oostburg,51.3333,3.5,Zeeland,
Stompetoren,52.6153,4.8228,Noord-Holland,
Den Burg,53.0558,4.7961,Noord-Holland,
Wommels,53.1088,5.5875,Fryslân,
Sellingen,52.9464,7.1514,Groningen,
Ballum,53.4441,5.6876,Fryslân,
West-Terschelling,53.3608,5.2156,Fryslân,
Oost-Vlieland,53.2959,5.0665,Fryslân,
Rijndijkbuurt,52.15485,4.51025,Zuid-Holland,
Nobelhorst,52.35912,5.28987,Flevoland,
Loosdrecht,52.2026,5.09056,Noord-Holland,
Het Gegraaf,51.3605,5.44654,Noord-Brabant,
Sporenburg,52.37372,4.94505,Noord-Holland,
Stadskern,52.15701,5.3905,Gelderland,
Noord-Beveland,51.56521,3.80091,Zeeland,
Op de Nobel,50.88463,5.98059,Limburg,
Rijkerswoerd-West,51.95056,5.88567,Gelderland,
Voscuyl,52.1836,4.46539,Zuid-Holland,
Oosterwijk,51.88244,5.07558,Noord-Holland,
Doorn-Centrum,52.08588,4.31369,Utrecht,
Rhijngeest,52.17601,4.46099,Zuid-Holland,
Molenlaankwartier,51.96086,4.50565,Zuid-Holland,
Nissewaard,51.82787,4.30528,Zuid-Holland,
Plan Centrum-Noord,52.42711,4.91682,Noord-Holland,
Staatsliedenwijk,52.37894,5.21751,Flevoland,
Pijnacker-Nootdorp,52.01114,4.42685,Zuid-Holland,
Lievenspolder,51.32982,3.83472,Zeeland,
Rivierenbuurt,52.34404,4.90365,Groningen,
Rivierenbuurt,52.34404,4.90365,Flevoland,
Rivierenbuurt,52.34404,4.90365,Noord-Holland,
Rijnbuurt West,52.34341,4.90957,Noord-Holland,
Zuidoostbeemster,52.51535,4.9429,Noord-Holland,
Scharn,50.84787,5.72375,Limburg,
"Bennekel-West, Gagelbosch",51.41669,5.45869,Noord-Brabant,
Muziekbuurt,52.033,4.32186,Zuid-Holland,
Johannes Geradtswegbuurt,52.23386,5.18171,Noord-Holland,
Schoonveld,51.86998,4.48418,Noord-Brabant,
Kalsdonk,51.54342,4.4767,Noord-Brabant,
De Tuit,52.30057,5.27832,Noord-Holland,
Zuidbroek,53.15934,6.86676,Overijssel,
Berkel en Rodenrijs,51.99113,4.47398,Zuid-Holland,
Winkelcentrum,51.56791,4.63692,Gelderland,
Winkelcentrum,51.56791,4.63692,Noord-Brabant,
Winkelcentrum,51.56791,4.63692,Limburg,
Stadsdriehoek,51.92177,4.48669,Zuid-Holland,
Parkwijk-Zuid,52.36827,5.2528,Utrecht,
Midden-Delfland,51.97058,4.32298,Zuid-Holland,
Winkelhof,52.16242,4.53338,Zuid-Holland,
Eeuwsels,51.4988,5.66657,Noord-Brabant,
Drie Papegaaien,52.13231,4.38516,Zuid-Holland,
Oranjewijk,53.22138,6.54789,Noord-Holland,
Filmwijk,52.3673,5.23704,Flevoland,
Wyck,50.84729,5.70253,Limburg,
Oostbuurt,51.97916,4.2772,Zuid-Holland,
Rijndijk,51.88719,6.04123,Zuid-Holland,
Zuidpoort,52.00886,4.36436,Zuid-Holland,
Nieuw Crooswijk,51.93687,4.49385,Zuid-Holland,
Loo,52.10679,6.67394,Noord-Brabant,
Gulpen-Wittem,50.79963,5.89053,Limburg,
Tichelwerk,53.26137,5.83171,Overijssel,
Centrum-Oud,52.52453,5.7142,Noord-Brabant,
Haantje,52.02193,4.3464,Zuid-Holland,
Schrijversbuurt,52.15587,4.47629,Overijssel,
Schrijversbuurt,52.15587,4.47629,Noord-Brabant,
Schrijversbuurt,52.15587,4.47629,Noord-Holland,
Literatuurwijk,52.35577,5.18286,Flevoland,
Heiliglanden,51.78892,5.54552,Noord-Holland,
Besterd,51.56619,5.08539,Noord-Brabant,
Feijenoord,51.90966,4.50696,Zuid-Holland,
Koningin Wilhelminaplein,12.10421,-68.93348,Noord-Holland,
Súdwest-Fryslân,52.97483,5.43607,Friesland,
Smitshoek 2,51.98909,4.4994,Zuid-Holland,
Statenkwartier,50.85234,5.68698,Zuid-Holland,
