city,latitude,longitude,Provincie,population
Leiderdorp,52.1617,4.5283,Zuid-Holland,27109.0
Aalten,51.925,6.5808,Gelderland,27011.0
Werkendam,51.8097,4.8928,Noord-Brabant,26940.0
Ermelo,52.3,5.6331,Gelderland,26858.0
Rijssen,52.3,6.5167,Overijssel,26428.0
Wassenaar,52.1453,4.4006,Zuid-Holland,26211.0
Oisterwijk,51.5833,5.2,Noord-Brabant,26140.0
Dongen,51.6258,4.9433,Noord-Brabant,26051.0
Beuningen,51.8667,5.7667,Gelderland,25882.0
Veenoord,52.9875,6.2914,Fryslân,25531.0
Duiven,51.9472,6.0211,Gelderland,25332.0
Sliedrecht,51.8222,4.7744,Zuid-Holland,25026.0
Stein,50.9679,5.7652,Limburg,24961.0
Cuijk,51.7269,5.8794,Noord-Brabant,24931.0
Oegstgeest,52.1667,4.4667,Zuid-Holland,24426.0
Oud-Beijerland,51.82,4.42,Zuid-Holland,24301.0
Putten,52.2579,5.608,Gelderland,24198.0
Goirle,51.5203,5.0671,Noord-Brabant,23793.0
Schijndel,51.6183,5.4364,Noord-Brabant,23618.0
Oldebroek,52.4667,5.9167,Gelderland,23598.0
Heiloo,52.6011,4.7019,Noord-Holland,23464.0
Loon op Zand,51.6275,5.0758,Noord-Brabant,23327.0
Borne,52.3,6.75,Overijssel,23210.0
Steenwijk,52.7833,6.1167,Overijssel,22843.0
Hoensbroek,50.9167,5.9333,Limburg,22740.0
Losser,52.2617,7.0044,Overijssel,22622.0
Beek en Donk,51.5161,5.6208,Noord-Brabant,22333.0
Zeewolde,52.3333,5.5167,Flevoland,22309.0
Oud-Zuilen,52.1272,5.0694,Utrecht,22257.0
Woensdrecht,51.43,4.305,Noord-Brabant,21866.0
Nieuwerkerk aan den IJssel,51.9656,4.6083,Zuid-Holland,21649.0
Zundert,51.4703,4.66,Noord-Brabant,21612.0
Geertruidenberg,51.7008,4.8603,Noord-Brabant,21515.0
Tubbergen,52.4,6.7667,Overijssel,21276.0
Leerdam,51.8939,5.0914,Zuid-Holland,21030.0
Winschoten,53.15,7.0333,Groningen,20913.0
Urk,52.6653,5.6058,Flevoland,20776.0
Poortugaal,51.8553,4.3967,Zuid-Holland,20746.0
Cranendonck,51.2853,5.5881,Noord-Brabant,20440.0
Bladel,51.3667,5.2167,Noord-Brabant,20175.0
Rhenen,51.9597,5.5689,Utrecht,20004.0
Wisch,51.9333,6.3167,Gelderland,19911.0
Vriezenveen,52.4117,6.6256,Overijssel,19875.0
Helden,51.3167,6.0,Limburg,19502.0
Tegelen,51.3422,6.1364,Limburg,19337.0
Someren,51.3847,5.7119,Noord-Brabant,19322.0
